gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	112887	114022	+	113454	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	121275	123113	+	122194	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	123481	127401	-	125441	1.0	1.0
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	127845	131344	-	129594	1.0	1.0
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	134323	141487	+	137905	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	148133	149922	+	149027	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	154658	158788	+	156723	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	159202	162224	-	160713	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	165333	168292	-	166812	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	170879	173541	-	172210	1.0	1.0
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	185145	191121	-	188133	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	209816	213093	+	211454	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	263821	275595	-	269708	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	478813	491280	-	485046	1.0	0.999
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	501436	503493	-	502464	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	510584	514553	-	512568	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	524408	531163	+	527785	1.0	0.999
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	535844	540262	-	538053	1.0	1.0
