cs_chr	Chuanmai104_tgt_chr	n_anchors	Chuanmai104_mean_anchor_gap_Mb	Chuanmai104_interp_type	n_segments	Chuanmai104_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A	4002	0.101	linear+linear+linear	3	0.948
Chr1B	Chr1B+Chr1B	4252	0.124	linear+linear	2	0.922
Chr1D	Chr1D	4331	0.115	linear	1	0.972
Chr2A	Chr2A+Chr2A+Chr2A	5417	0.278	linear+pchip_inverted+linear	3	0.921
Chr2B	Chr2B+Chr2B+Chr2B	5560	0.292	linear+linear+linear	3	0.923
Chr2D	Chr2D	5723	0.115	linear	1	0.977
Chr3A	Chr3A	5019	0.15	linear	1	0.973
Chr3B	Chr3B+Chr3B+Chr3B	5372	0.189	linear+linear+linear	3	0.927
Chr3D	Chr3D+Chr3D+Chr3D	5124	0.087	linear+pchip_inverted+pchip_inverted	3	0.98
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A	3516	0.386	linear+linear+pchip_inverted+linear	4	0.841
Chr4B	Chr4B	3591	0.188	linear	1	0.798
Chr4D	Chr4D	3540	0.145	linear	1	0.988
Chr5A	Chr5A+Chr5A	5227	0.237	linear+linear	2	0.962
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5183	0.084	linear+linear+linear+linear+linear	5	0.946
Chr5D	Chr5D	5422	0.105	linear	1	0.982
Chr6A	Chr6A+Chr6A+Chr6A	3879	0.225	linear+pchip_inverted+pchip_inverted	3	0.965
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	4197	0.328	linear+linear+linear+pchip_inverted+pchip_inverted	5	0.919
Chr6D	Chr6D	3908	0.127	linear	1	0.982
Chr7A	Chr7A+Chr7A+Chr7A	5162	0.135	linear+pchip_inverted+linear	3	0.957
Chr7B	Chr7B+Chr7B	4326	0.124	linear+linear	2	0.823
Chr7D	Chr7D+Chr7D	5272	0.096	linear+linear	2	0.979
