cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr6B	2396962	3849828	Chr6B	2536585	3418587	7	0.9755714285714285
Chr6B	138761	109698670	Chr6B	2310938	116241601	1023	0.994353861192571
Chr6B	112206304	114854793	Chr6B	119594724	121999015	6	0.9876666666666667
Chr6B	118675045	246426312	Chr6B	128042881	258803233	745	0.993723489932886
Chr6B	249274084	259111612	Chr6B	261761090	271304907	27	0.9976666666666666
Chr6B	261263057	268713242	Chr6B	273457250	281130238	31	0.9929354838709677
Chr6B	280387366	289129738	Chr6B	281854496	290378292	39	0.9959487179487179
Chr6B	292829101	297214023	Chr6B	294214617	298651478	20	0.9953999999999998
Chr6B	301908638	306833186	Chr6B	314659292	319609267	23	0.9959130434782608
Chr6B	323344757	327439454	Chr6B	330624207	334690952	11	0.9954545454545456
Chr6B	348550830	349949438	Chr6B	354712942	356080316	5	0.994
Chr6B	375071770	380913451	Chr6B	381637513	387451222	10	0.9996
Chr6B	418643653	423403184	Chr6B	424488228	429256360	14	0.9992142857142857
Chr6B	440002335	449326149	Chr6B	440617692	451722137	49	0.9982857142857142
Chr6B	452819490	486984757	Chr6B	455231725	489393637	170	0.9958529411764707
Chr6B	501454366	506798448	Chr6B	507086393	513687693	27	0.9995925925925926
Chr6B	524252260	629148387	Chr6B	528459467	635714489	648	0.9976882716049382
Chr6B	631157333	635284956	Chr6B	637649138	641726035	33	0.9935454545454545
Chr6B	638657051	731065543	Chr6B	644229938	740698169	980	0.9926938775510205
Chr6B	307049318	308701890	Chr6B	322750515	324416161	4	0.99925
Chr6B	312885387	322747827	Chr6B	299684656	309940477	23	0.9990434782608696
Chr6B	340390557	344916877	Chr6B	327379753	337603026	10	0.9966000000000002
Chr6B	352634401	363784669	Chr6B	398916935	413472972	27	0.9982592592592593
Chr6B	367054723	374263249	Chr6B	388209715	395660816	12	0.9985
Chr6B	381551074	387071487	Chr6B	375354699	380873364	8	0.997
Chr6B	393616244	395753456	Chr6B	366744489	368834445	17	0.9975294117647058
Chr6B	398163652	406743837	Chr6B	358512768	403577372	13	0.9904615384615385
Chr6B	410641112	417038268	Chr6B	430858394	437106555	13	0.9994615384615386
Chr6B	424092408	432650099	Chr6B	415287720	423845017	28	0.9983214285714286
Chr6B	487287532	500639307	Chr6B	514505377	528144467	59	0.9917796610169491
Chr6B	507105468	523759415	Chr6B	490187163	506779219	103	0.9986990291262136
