gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	572598	578398	-	575498	0.997	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	583650	587845	+	585747	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	751637	753064	+	752350	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	993179	993511	-	993345	1.0	0.99
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	993179	993537	-	993358	1.0	0.991
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	779947	780279	-	780113	1.0	0.987
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	1039860	1044205	-	1042032	0.995	0.995
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1205739	1208759	+	1207249	1.0	0.997
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1208990	1214901	-	1211945	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1803247	1804290	+	1803768	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1810855	1812899	-	1811877	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1878883	1884061	+	1881472	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1978711	1985749	-	1982230	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	2076946	2079879	+	2078412	1.0	1.0
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	2140016	2141720	+	2140868	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	2160309	2163008	-	2161658	1.0	1.0
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2392543	2392908	-	2392725	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2393610	2394401	+	2394005	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2407852	2414599	+	2411225	1.0	1.0
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2523736	2525380	-	2524558	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2558907	2561260	+	2560083	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2564183	2575043	+	2569613	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2787882	2788904	-	2788393	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	2886312	2889216	+	2887764	1.0	0.999
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	2935633	2941842	+	2938737	1.0	1.0
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	2943301	2948501	-	2945901	0.991	0.987
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	2949868	2953949	-	2951908	1.0	1.0
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	2959233	2963603	+	2961418	1.0	1.0
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	2966639	2971555	+	2969097	1.0	1.0
gene:TraesCS5D03G0005300	Chr5D	2814456	2815962	+	2815209	Chr5D	3085020	3086526	+	3085773	1.0	1.0
gene:TraesCS5D03G0005400	Chr5D	3027689	3029129	+	3028409	Chr5D	3293980	3295420	+	3294700	1.0	1.0
gene:TraesCS5D03G0005700	Chr5D	3085495	3086987	+	3086241	Chr5D	3351762	3353254	+	3352508	1.0	1.0
gene:TraesCS5D03G0006000	Chr5D	3150676	3151507	+	3151091	Chr5D	3416942	3417771	+	3417356	0.997	0.997
gene:TraesCS5D03G0007100	Chr5D	3285989	3291185	-	3288587	Chr5D	3552428	3557630	-	3555029	1.0	1.0
gene:TraesCS5D03G0007600	Chr5D	3553643	3558815	+	3556229	Chr5D	3819855	3825027	+	3822441	1.0	1.0
gene:TraesCS5D03G0007700	Chr5D	3560879	3562605	-	3561742	Chr5D	3827091	3828817	-	3827954	1.0	0.999
gene:TraesCS5D03G0007800	Chr5D	3566317	3566982	+	3566649	Chr5D	3832530	3833195	+	3832862	1.0	1.0
gene:TraesCS5D03G0007900	Chr5D	3568816	3570710	-	3569763	Chr5D	3835029	3836923	-	3835976	1.0	1.0
gene:TraesCS5D03G0008000	Chr5D	3579222	3582239	-	3580730	Chr5D	3845436	3848453	-	3846944	1.0	1.0
gene:TraesCS5D03G0008100	Chr5D	3584251	3584745	+	3584498	Chr5D	3850465	3850959	+	3850712	1.0	1.0
gene:TraesCS5D03G0008300	Chr5D	3604593	3605039	+	3604816	Chr5D	3870805	3871251	+	3871028	1.0	1.0
gene:TraesCS5D03G0008400	Chr5D	3608804	3611113	-	3609958	Chr5D	3875014	3877323	-	3876168	1.0	1.0
gene:TraesCS5D03G0008600	Chr5D	3622739	3623188	+	3622963	Chr5D	3888954	3889403	+	3889178	1.0	1.0
gene:TraesCS5D03G0008900	Chr5D	3646131	3647699	+	3646915	Chr5D	3912316	3913884	+	3913100	1.0	0.997
gene:TraesCS5D03G0009200	Chr5D	3649092	3650582	+	3649837	Chr5D	3915277	3916767	+	3916022	1.0	1.0
gene:TraesCS5D03G0009100	Chr5D	3649059	3653270	-	3651164	Chr5D	3915244	3919455	-	3917349	1.0	1.0
gene:TraesCS5D03G0009400	Chr5D	3672490	3674058	-	3673274	Chr5D	3938673	3940241	-	3939457	1.0	1.0
gene:TraesCS5D03G0009800	Chr5D	3763968	3767732	-	3765850	Chr5D	4030022	4033786	-	4031904	1.0	1.0
gene:TraesCS5D03G0009900	Chr5D	3777701	3780330	+	3779015	Chr5D	4043751	4046380	+	4045065	1.0	1.0
gene:TraesCS5D03G0010200	Chr5D	4128339	4134929	+	4131634	Chr5D	4385173	4391763	+	4388468	1.0	1.0
gene:TraesCS5D03G0010300	Chr5D	4138928	4139406	+	4139167	Chr5D	4395761	4396239	+	4396000	1.0	1.0
gene:TraesCS5D03G0010400	Chr5D	4139960	4143802	+	4141881	Chr5D	4396793	4400635	+	4398714	1.0	1.0
gene:TraesCS5D03G0010500	Chr5D	4143972	4149511	-	4146741	Chr5D	4400805	4406344	-	4403574	1.0	1.0
gene:TraesCS5D03G0010700	Chr5D	4214914	4215624	+	4215269	Chr5D	4471761	4472471	+	4472116	1.0	1.0
gene:TraesCS5D03G0010800	Chr5D	4236946	4237494	+	4237220	Chr5D	4493822	4494370	+	4494096	1.0	1.0
gene:TraesCS5D03G0010900	Chr5D	4321657	4325110	+	4323383	Chr5D	4578513	4581966	+	4580239	1.0	1.0
gene:TraesCS5D03G0011400	Chr5D	4601728	4604250	+	4602989	Chr5D	4862976	4865498	+	4864237	1.0	0.999
gene:TraesCS5D03G0011500	Chr5D	4657637	4660576	+	4659106	Chr5D	4918886	4921825	+	4920355	1.0	1.0
gene:TraesCS5D03G0011600	Chr5D	4661997	4662533	+	4662265	Chr5D	4923250	4923786	+	4923518	1.0	1.0
gene:TraesCS5D03G0011700	Chr5D	4662688	4663563	+	4663125	Chr5D	4923941	4924816	+	4924378	1.0	0.998
gene:TraesCS5D03G0011800	Chr5D	4685322	4688315	-	4686818	Chr5D	4946574	4949567	-	4948070	1.0	1.0
gene:TraesCS5D03G0012000	Chr5D	4692650	4697978	-	4695314	Chr5D	4953905	4959233	-	4956569	1.0	1.0
gene:TraesCS5D03G0012500	Chr5D	4781972	4785327	+	4783649	Chr5D	5043231	5046586	+	5044908	1.0	1.0
gene:TraesCS5D03G0012700	Chr5D	4872332	4872634	+	4872483	Chr5D	5132511	5132813	+	5132662	1.0	1.0
gene:TraesCS5D03G0013000	Chr5D	4874080	4874303	-	4874191	Chr5D	5134259	5134482	-	5134370	1.0	1.0
gene:TraesCS5D03G0014100	Chr5D	4882647	4883390	+	4883018	Chr5D	5141791	5142534	+	5142162	1.0	1.0
gene:TraesCS5D03G0014300	Chr5D	4884121	4884294	-	4884207	Chr5D	5143265	5143438	-	5143351	1.0	1.0
gene:TraesCS5D03G0014400	Chr5D	4884966	4885211	+	4885088	Chr5D	5144110	5144355	+	5144232	1.0	1.0
gene:TraesCS5D03G0014500	Chr5D	4886766	4887029	+	4886897	Chr5D	5145910	5146173	+	5146041	1.0	1.0
gene:TraesCS5D03G0014600	Chr5D	4887121	4888287	+	4887704	Chr5D	5146265	5147431	+	5146848	1.0	1.0
gene:TraesCS5D03G0014800	Chr5D	4891913	4894165	-	4893039	Chr5D	5151057	5153309	-	5152183	1.0	1.0
gene:TraesCS5D03G0015100	Chr5D	4897812	4898401	-	4898106	Chr5D	5156956	5157545	-	5157250	1.0	1.0
gene:TraesCS5D03G0015300	Chr5D	4901060	4901539	-	4901299	Chr5D	5160204	5160683	-	5160443	1.0	1.0
gene:TraesCS5D03G0015400	Chr5D	4901640	4902071	-	4901855	Chr5D	5160784	5161215	-	5160999	1.0	1.0
gene:TraesCS5D03G0015500	Chr5D	4902366	4902728	-	4902547	Chr5D	5161510	5161872	-	5161691	1.0	1.0
gene:TraesCS5D03G0015700	Chr5D	4904704	4905117	-	4904910	Chr5D	5163848	5164261	-	5164054	1.0	1.0
gene:TraesCS5D03G0016000	Chr5D	4919446	4920810	+	4920128	Chr5D	5178590	5179954	+	5179272	1.0	1.0
gene:TraesCS5D03G0016400	Chr5D	4925715	4926272	+	4925993	Chr5D	5181076	5181633	+	5181354	1.0	0.998
gene:TraesCS5D03G0016800	Chr5D	4929412	4929555	-	4929483	Chr5D	5184773	5184916	-	5184844	1.0	1.0
gene:TraesCS5D03G0016900	Chr5D	4929660	4929776	-	4929718	Chr5D	5185021	5185137	-	5185079	1.0	1.0
gene:TraesCS5D03G0017400	Chr5D	4932349	4932477	+	4932413	Chr5D	5187710	5187838	+	5187774	1.0	1.0
gene:TraesCS5D03G0017500	Chr5D	4932918	4933118	+	4933018	Chr5D	5188279	5188479	+	5188379	1.0	1.0
gene:TraesCS5D03G0018000	Chr5D	4935300	4936013	-	4935656	Chr5D	5190661	5191374	-	5191017	1.0	1.0
gene:TraesCS5D03G0018400	Chr5D	4938361	4938492	-	4938426	Chr5D	5193722	5193853	-	5193787	1.0	1.0
gene:TraesCS5D03G0018500	Chr5D	4938596	4938832	+	4938714	Chr5D	5193957	5194193	+	5194075	1.0	1.0
gene:TraesCS5D03G0018700	Chr5D	4939644	4939925	+	4939784	Chr5D	5195005	5195286	+	5195145	1.0	1.0
gene:TraesCS5D03G0019200	Chr5D	4943192	4945435	+	4944313	Chr5D	5198553	5200796	+	5199674	1.0	1.0
gene:TraesCS5D03G0019300	Chr5D	4945761	4945971	+	4945866	Chr5D	5201122	5201332	+	5201227	1.0	1.0
gene:TraesCS5D03G0019800	Chr5D	4948993	4949154	-	4949073	Chr5D	5204354	5204515	-	5204434	1.0	1.0
gene:TraesCS5D03G0020000	Chr5D	4949293	4950393	-	4949843	Chr5D	5204654	5205754	-	5205204	1.0	1.0
gene:TraesCS5D03G0020100	Chr5D	4950002	4950451	+	4950226	Chr5D	5205363	5205812	+	5205587	1.0	1.0
gene:TraesCS5D03G0020300	Chr5D	4950827	4951042	+	4950934	Chr5D	5206188	5206403	+	5206295	1.0	1.0
gene:TraesCS5D03G0020400	Chr5D	4951153	4952147	-	4951650	Chr5D	5206514	5207508	-	5207011	1.0	1.0
gene:TraesCS5D03G0020800	Chr5D	4955589	4956654	-	4956121	Chr5D	5210950	5212015	-	5211482	1.0	1.0
