cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr2A	265047681	267066623	Chr2A	250877102	252972563	7	0.9995714285714286
Chr2A	269745498	277781081	Chr2A	240948882	249678258	15	0.9971333333333331
Chr2A	279829079	283404262	Chr2A	235257663	238783714	18	0.996
Chr2A	341776760	342646626	Chr2A	329772316	330768390	6	0.9956666666666667
Chr2A	1229081	237897856	Chr2A	403908	234432619	2096	0.9961378816793894
Chr2A	260439994	262381145	Chr2A	255785402	257679875	7	0.9972857142857142
Chr2A	283478083	286214975	Chr2A	279572186	282338094	5	0.9986
Chr2A	288400047	290885926	Chr2A	284590731	287179804	5	0.9966000000000002
Chr2A	293418889	298305444	Chr2A	289699152	294537696	7	0.9911428571428572
Chr2A	304709700	310481732	Chr2A	301385083	307277573	6	0.9956666666666667
Chr2A	313973952	319393694	Chr2A	310786060	317613681	7	0.9932857142857143
Chr2A	322290657	328918706	Chr2A	320454190	327199826	12	0.9951666666666666
Chr2A	335357629	339528195	Chr2A	332991143	337203521	10	0.9884000000000001
Chr2A	344692562	366697851	Chr2A	344579752	366995597	34	0.9965588235294116
Chr2A	368718225	399870506	Chr2A	368393736	398929421	100	0.9955699999999997
Chr2A	404353227	404860525	Chr2A	403403398	403881406	4	0.99525
Chr2A	409607272	490304153	Chr2A	408596010	489486582	272	0.9972647058823528
Chr2A	492634434	551591979	Chr2A	491804647	549747947	315	0.9960698412698411
Chr2A	553651491	787142100	Chr2A	551808112	787737704	2486	0.9954066773934032
