cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr5A	14293	62409843	Chr5A	25641	62883766	547	0.9957861060329066
Chr5A	65256920	152899436	Chr5A	65743633	153773673	399	0.996814536340852
Chr5A	156754150	160718182	Chr5A	157618544	161756162	13	0.9997692307692309
Chr5A	163084098	182449906	Chr5A	164116182	183869769	37	0.9995675675675676
Chr5A	184871905	185667222	Chr5A	186286354	187079186	3	1.0
Chr5A	192446609	200581324	Chr5A	193812014	201919957	16	0.9998125
Chr5A	204816399	224020772	Chr5A	206178979	225316028	33	0.9996666666666668
Chr5A	226098410	238494644	Chr5A	227391355	240721637	28	0.9998928571428572
Chr5A	247866626	251028605	Chr5A	250975814	255840679	8	1.0
Chr5A	259606122	713328361	Chr5A	265748540	726268810	4116	0.9964159378036928
