gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity
gene:TraesCS5A03G0000100	Chr5A	10126	18461	-	14293	Chr5A	21475	29808	-	25641	0.999	0.998
gene:TraesCS5A03G0000200	Chr5A	20226	23967	+	22096	Chr5A	31571	35317	+	33444	1.0	0.986
gene:TraesCS5A03G0000400	Chr5A	215597	216821	+	216209	Chr5A	231798	233022	+	232410	1.0	1.0
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	621425	627391	+	624408	0.995	0.992
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	627583	629056	+	628319	0.969	0.963
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	636438	637422	+	636930	1.0	0.992
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	1451221	1453014	+	1452117	1.0	0.997
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	1719227	1722439	-	1720833	1.0	0.999
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	1865597	1865962	-	1865779	1.0	0.972
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	1919792	1920274	+	1920033	1.0	0.997
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	1944409	1952853	+	1948631	0.994	0.993
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	1953838	1956772	+	1955305	1.0	1.0
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	1967501	1967847	+	1967674	1.0	1.0
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	2142925	2143104	+	2143014	1.0	1.0
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	2186703	2187692	-	2187197	1.0	1.0
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	2578999	2580503	-	2579751	1.0	1.0
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	2648997	2650193	-	2649595	1.0	1.0
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	2760895	2765834	-	2763364	1.0	1.0
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	2895831	2900080	-	2897955	1.0	1.0
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	2917158	2921380	+	2919269	1.0	1.0
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	2922387	2927380	+	2924883	1.0	1.0
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	2934219	2940023	-	2937121	1.0	1.0
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	2987220	2990259	-	2988739	1.0	1.0
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	3193569	3195112	-	3194340	0.983	0.974
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	3260445	3261371	+	3260908	1.0	0.992
gene:TraesCS5A03G0006500	Chr5A	3315802	3317881	-	3316841	Chr5A	3263581	3265599	-	3264590	0.992	0.991
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	3265875	3269661	-	3267768	0.991	0.972
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	3271630	3272124	+	3271877	1.0	0.997
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	3275554	3277857	+	3276705	1.0	0.998
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	3280665	3282301	-	3281483	0.992	0.986
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	3320717	3322484	-	3321600	0.998	0.988
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	3348709	3353680	-	3351194	1.0	1.0
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	3430145	3431763	+	3430954	1.0	1.0
gene:TraesCS5A03G0008000	Chr5A	3769384	3773677	+	3771530	Chr5A	3566593	3570886	+	3568739	1.0	1.0
gene:TraesCS5A03G0008100	Chr5A	3774296	3777820	-	3776058	Chr5A	3571505	3575045	-	3573275	1.0	1.0
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	3596308	3602650	-	3599479	0.986	0.985
gene:TraesCS5A03G0008600	Chr5A	3869700	3875455	-	3872577	Chr5A	3734676	3740431	-	3737553	1.0	1.0
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	3857220	3860661	+	3858940	1.0	1.0
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	3937410	3944852	+	3941131	1.0	1.0
gene:TraesCS5A03G0009300	Chr5A	4081207	4083626	+	4082416	Chr5A	3945902	3948319	+	3947110	1.0	1.0
gene:TraesCS5A03G0009400	Chr5A	4100653	4103564	-	4102108	Chr5A	3965331	3968240	-	3966785	1.0	1.0
gene:TraesCS5A03G0009500	Chr5A	4120412	4124180	-	4122296	Chr5A	3985092	3988860	-	3986976	1.0	1.0
gene:TraesCS5A03G0009700	Chr5A	4186460	4199135	+	4192797	Chr5A	4050604	4063279	+	4056941	1.0	1.0
gene:TraesCS5A03G0009900	Chr5A	4216771	4219824	+	4218297	Chr5A	4080912	4083965	+	4082438	1.0	1.0
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	4128812	4129792	-	4129302	1.0	0.998
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	4138991	4142864	-	4140927	1.0	1.0
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	4153300	4154066	+	4153683	1.0	1.0
gene:TraesCS5A03G0010500	Chr5A	4295044	4309997	+	4302520	Chr5A	4159209	4174178	+	4166693	1.0	1.0
gene:TraesCS5A03G0010600	Chr5A	4314200	4318047	-	4316123	Chr5A	4178379	4182226	-	4180302	1.0	1.0
gene:TraesCS5A03G0010800	Chr5A	4324864	4327830	-	4326347	Chr5A	4189047	4192150	-	4190598	0.931	0.92
gene:TraesCS5A03G0010900	Chr5A	4334824	4335825	-	4335324	Chr5A	4270927	4271928	-	4271427	1.0	0.994
gene:TraesCS5A03G0011000	Chr5A	4338873	4349382	+	4344127	Chr5A	4275682	4286184	+	4280933	1.0	0.996
gene:TraesCS5A03G0011200	Chr5A	4407568	4419230	+	4413399	Chr5A	4344606	4356268	+	4350437	1.0	1.0
gene:TraesCS5A03G0011300	Chr5A	4421557	4424972	+	4423264	Chr5A	4358595	4362010	+	4360302	1.0	1.0
gene:TraesCS5A03G0011400	Chr5A	4427274	4431603	+	4429438	Chr5A	4363934	4368263	+	4366098	1.0	1.0
gene:TraesCS5A03G0011500	Chr5A	4458508	4461918	+	4460213	Chr5A	4395166	4398576	+	4396871	1.0	1.0
gene:TraesCS5A03G0012100	Chr5A	4601170	4603965	+	4602567	Chr5A	4530633	4533429	+	4532031	1.0	0.998
gene:TraesCS5A03G0013200	Chr5A	4919883	4925344	+	4922613	Chr5A	4843693	4849149	+	4846421	1.0	0.993
gene:TraesCS5A03G0013300	Chr5A	4930158	4933157	-	4931657	Chr5A	4853965	4856038	-	4855001	1.0	0.992
gene:TraesCS5A03G0013900	Chr5A	4955513	4957493	+	4956503	Chr5A	4885086	4887066	+	4886076	1.0	0.997
gene:TraesCS5A03G0014100	Chr5A	4985496	4986139	-	4985817	Chr5A	4927090	4927733	-	4927411	1.0	0.994
gene:TraesCS5A03G0014200	Chr5A	4993029	4993634	+	4993331	Chr5A	4934623	4935228	+	4934925	1.0	1.0
gene:TraesCS5A03G0015400	Chr5A	5201460	5203706	+	5202583	Chr5A	5132078	5134324	+	5133201	1.0	1.0
