gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	731094	735328	+	733211	0.999	0.995
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	758799	762618	-	760708	0.998	0.992
gene:TraesCS3A03G0000300	Chr3A	96529	96813	+	96671	Chr3A	800982	801266	+	801124	1.0	0.992
gene:TraesCS3A03G0000600	Chr3A	170523	170900	+	170711	Chr3A	903850	904226	+	904038	0.997	0.992
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	1427228	1431275	-	1429251	0.998	0.996
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1436075	1438793	-	1437434	1.0	0.998
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1473910	1480417	+	1477163	0.966	0.952
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1486024	1489186	+	1487605	1.0	0.981
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1647879	1651163	+	1649521	1.0	0.998
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	1676651	1678516	+	1677583	0.97	0.958
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1722186	1724476	+	1723331	1.0	0.993
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1769283	1771954	+	1770618	0.998	0.984
gene:TraesCS3A03G0004300	Chr3A	1094785	1098146	+	1096465	Chr3A	1788808	1792169	+	1790488	1.0	0.999
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	1810945	1814146	+	1812545	1.0	1.0
gene:TraesCS3A03G0004700	Chr3A	1428190	1428489	-	1428339	Chr3A	2016442	2016741	-	2016591	1.0	1.0
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2296869	2297373	+	2297121	1.0	1.0
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2301933	2302349	+	2302141	1.0	1.0
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2363778	2364137	+	2363957	1.0	1.0
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2381991	2382422	+	2382206	1.0	1.0
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2407477	2408398	+	2407937	1.0	0.998
gene:TraesCS3A03G0005900	Chr3A	1800445	1803196	-	1801820	Chr3A	2489821	2492573	-	2491197	1.0	0.999
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2494605	2495091	-	2494848	1.0	1.0
gene:TraesCS3A03G0006600	Chr3A	1861996	1862403	+	1862199	Chr3A	2551353	2551760	+	2551556	1.0	1.0
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2561756	2563613	+	2562684	1.0	1.0
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2570894	2571371	+	2571132	1.0	1.0
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2578177	2578779	+	2578478	1.0	1.0
