gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	Chuanmai104_tgt_strand	Chuanmai104_tgt_midpoint	Chuanmai104_coverage	Chuanmai104_identity
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	1923986	1926034	-	1925010	1.0	0.98
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	1952369	1953845	-	1953107	1.0	0.998
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	1958329	1958934	-	1958631	1.0	0.998
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	2583395	2585411	+	2584403	0.997	0.992
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	2645812	2646749	+	2646280	1.0	0.993
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	2653734	2658083	-	2655908	0.998	0.979
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	2673462	2678365	+	2675913	1.0	0.976
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	2685783	2686829	-	2686306	1.0	0.996
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	2696266	2696653	+	2696459	1.0	1.0
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	2704124	2704621	-	2704372	1.0	0.993
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	2706663	2707634	+	2707148	0.987	0.976
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	2754951	2761867	+	2758409	0.998	0.994
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	2769136	2773561	-	2771348	1.0	0.996
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	2782866	2789183	+	2786024	0.999	0.986
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	2796156	2797739	-	2796947	0.999	0.994
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	2808665	2811598	+	2810131	1.0	0.998
gene:TraesCS6A03G0003700	Chr6A	1590243	1592797	-	1591520	Chr6A	2814334	2816655	-	2815494	0.908	0.9
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	2969750	2976412	+	2973081	0.995	0.976
gene:TraesCS6A03G0004400	Chr6A	1717372	1719718	-	1718545	Chr6A	2974809	2977114	-	2975961	0.962	0.934
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	2977901	2979440	-	2978670	1.0	0.985
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	2979904	2984591	-	2982247	0.951	0.947
gene:TraesCS6A03G0004900	Chr6A	1735764	1739970	+	1737867	Chr6A	2996920	3001212	+	2999066	1.0	0.974
gene:TraesCS6A03G0005000	Chr6A	1741213	1746701	-	1743957	Chr6A	3002465	3007988	-	3005226	0.989	0.979
gene:TraesCS6A03G0006500	Chr6A	2049229	2059125	-	2054177	Chr6A	3102247	3112161	-	3107204	0.999	0.995
gene:TraesCS6A03G0007100	Chr6A	2203802	2204371	+	2204086	Chr6A	3224933	3225502	+	3225217	1.0	0.997
gene:TraesCS6A03G0007500	Chr6A	2212597	2221548	-	2217072	Chr6A	3236198	3245145	-	3240671	0.997	0.993
gene:TraesCS6A03G0007900	Chr6A	2282496	2284138	-	2283317	Chr6A	3312456	3314095	-	3313275	0.998	0.99
gene:TraesCS6A03G0008200	Chr6A	2360136	2366375	+	2363255	Chr6A	3327113	3328399	+	3327756	0.986	0.98
gene:TraesCS6A03G0009100	Chr6A	2436943	2441208	+	2439075	Chr6A	3358793	3363048	+	3360920	0.994	0.985
gene:TraesCS6A03G0009300	Chr6A	2445174	2450370	+	2447772	Chr6A	3367017	3372150	+	3369583	0.994	0.981
gene:TraesCS6A03G0009400	Chr6A	2451784	2453964	+	2452874	Chr6A	3373506	3375665	+	3374585	0.985	0.958
gene:TraesCS6A03G0009500	Chr6A	2472064	2474776	+	2473420	Chr6A	3379824	3382508	+	3381166	0.989	0.986
gene:TraesCS6A03G0010100	Chr6A	2492564	2499034	+	2495799	Chr6A	3489485	3495954	+	3492719	1.0	0.998
gene:TraesCS6A03G0010200	Chr6A	2510567	2511779	+	2511173	Chr6A	3507485	3508688	+	3508086	0.99	0.986
gene:TraesCS6A03G0010300	Chr6A	2522326	2525232	+	2523779	Chr6A	3518793	3521681	+	3520237	0.983	0.977
gene:TraesCS6A03G0010400	Chr6A	2534695	2537409	+	2536052	Chr6A	3557968	3560833	+	3559400	0.988	0.98
gene:TraesCS6A03G0010800	Chr6A	2677756	2680999	+	2679377	Chr6A	3806828	3810053	+	3808440	1.0	0.993
gene:TraesCS6A03G0010900	Chr6A	2692132	2692392	-	2692262	Chr6A	3821246	3821506	-	3821376	1.0	1.0
gene:TraesCS6A03G0011100	Chr6A	2724971	2727654	-	2726312	Chr6A	3884379	3886873	-	3885626	0.996	0.977
gene:TraesCS6A03G0011500	Chr6A	2767759	2769038	-	2768398	Chr6A	3936440	3937720	-	3937080	1.0	0.995
gene:TraesCS6A03G0011700	Chr6A	2780187	2780928	-	2780557	Chr6A	3945570	3946312	-	3945941	1.0	0.998
gene:TraesCS6A03G0011900	Chr6A	2793785	2794712	-	2794248	Chr6A	3952194	3953121	-	3952657	1.0	0.996
gene:TraesCS6A03G0012000	Chr6A	2809641	2810003	-	2809822	Chr6A	3967920	3968283	-	3968101	1.0	0.981
gene:TraesCS6A03G0012100	Chr6A	2811038	2811415	-	2811226	Chr6A	3969320	3969697	-	3969508	1.0	1.0
gene:TraesCS6A03G0012200	Chr6A	2819892	2823290	-	2821591	Chr6A	3989795	3993185	-	3991490	0.988	0.984
gene:TraesCS6A03G0012600	Chr6A	2942228	2947777	+	2945002	Chr6A	4092200	4097650	+	4094925	0.956	0.953
gene:TraesCS6A03G0012800	Chr6A	2952615	2956528	-	2954571	Chr6A	4108416	4112324	-	4110370	1.0	0.996
gene:TraesCS6A03G0013300	Chr6A	3493875	3497254	-	3495564	Chr6A	4581140	4584429	-	4582784	0.999	0.993
