cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr1A	1964673	161541694	Chr1A	3281300	169999361	1102	0.9941823956442831
Chr1A	163678239	179426534	Chr1A	172171447	187923890	31	0.9994516129032258
Chr1A	181647298	184244993	Chr1A	190021668	192595879	5	0.9996
Chr1A	187212146	195578524	Chr1A	195563118	203926073	11	0.999909090909091
Chr1A	202719482	204217307	Chr1A	211096733	212591090	5	0.9987999999999999
Chr1A	206439950	211446295	Chr1A	214790465	219773941	8	0.999125
Chr1A	214015968	411777219	Chr1A	222287464	424317048	915	0.9962907103825136
Chr1A	414061309	422384517	Chr1A	426693687	435268587	22	0.9972272727272727
Chr1A	425019660	549266979	Chr1A	437079196	560581656	1234	0.9946628849270664
Chr1A	559088299	564520690	Chr1A	571824036	577154010	74	0.9935810810810811
Chr1A	575760323	597549247	Chr1A	587403871	609189773	304	0.9938782894736843
