cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr1B	170123	31339892	Chr1B	177230	34069824	381	0.9892834645669291
Chr1B	34045861	37323168	Chr1B	34943118	38403770	22	0.9840454545454544
Chr1B	40617176	81974218	Chr1B	43335822	84525550	263	0.9916273764258555
Chr1B	86636879	91210816	Chr1B	91527657	96106163	15	0.9901333333333332
Chr1B	93460686	130136259	Chr1B	98262820	138863027	197	0.9903857868020304
Chr1B	135281367	162293240	Chr1B	138987512	167000433	148	0.9927837837837838
Chr1B	164433800	224268457	Chr1B	167701216	231335323	192	0.9976041666666666
Chr1B	226868456	237708948	Chr1B	233996596	245010003	15	0.9986
Chr1B	240313663	244692138	Chr1B	247624832	252599052	7	0.9978571428571429
Chr1B	246841035	249142619	Chr1B	257515330	259903312	6	0.9991666666666666
Chr1B	251958660	272283175	Chr1B	266647227	287349034	50	0.99848
Chr1B	274419536	296088628	Chr1B	289546375	311149308	79	0.9989240506329115
Chr1B	298744976	298813169	Chr1B	313763538	313772661	3	0.9923333333333333
Chr1B	301350787	324212763	Chr1B	316204849	340163520	97	0.995979381443299
Chr1B	328166615	352578955	Chr1B	340576245	368813623	153	0.9959607843137254
Chr1B	354656789	695710037	Chr1B	370849540	722031207	2591	0.9947904284060208
Chr1B	700084281	700379038	Chr1B	727201304	727731924	4	0.9844999999999999
