cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr3A	28273	140281429	Chr3A	733211	139847394	1398	0.9950922746781116
Chr3A	142385461	192745740	Chr3A	141946894	191860890	216	0.9984675925925924
Chr3A	195861474	263087799	Chr3A	194965073	262802911	205	0.9992097560975608
Chr3A	270762150	278734659	Chr3A	270393685	278349852	12	0.9978333333333332
Chr3A	280899243	284859700	Chr3A	280524568	284429139	6	0.9991666666666666
Chr3A	286968946	294756278	Chr3A	286553281	294321654	7	0.9998571428571428
Chr3A	302081152	305236714	Chr3A	302256662	305419267	5	0.999
Chr3A	307569651	328087198	Chr3A	307757873	328163889	26	0.999653846153846
Chr3A	331805909	349096037	Chr3A	335399835	352501252	30	0.9990333333333332
Chr3A	351562540	354510700	Chr3A	354890847	357823954	8	0.999875
Chr3A	357146906	360275758	Chr3A	360469081	363584751	6	0.9998333333333336
Chr3A	362401176	754027567	Chr3A	365688300	760724341	3098	0.9972295029051
