cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr2B	31439	131021009	Chr2B	795659	132386883	1357	0.9941429624170968
Chr2B	137271666	211003478	Chr2B	133545281	207064196	566	0.9967332155477028
Chr2B	213718220	248272484	Chr2B	207163259	241712412	207	0.99868115942029
Chr2B	250482935	283157104	Chr2B	243911256	277044313	144	0.9998680555555556
Chr2B	285496966	304609294	Chr2B	279387474	298401986	29	0.9994827586206896
Chr2B	307417042	310240678	Chr2B	300060354	302880705	4	0.9995
Chr2B	328094710	331681179	Chr2B	315074736	318658789	5	1.0
Chr2B	333809245	346552298	Chr2B	320820799	335112115	21	1.0
Chr2B	348999066	355740303	Chr2B	337549494	344238484	8	1.0
Chr2B	360072831	363706950	Chr2B	347971632	354391399	5	1.0
Chr2B	365734406	810849469	Chr2B	356323503	801204618	3194	0.9933879148403256
