cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	255993	144673117	1418	0.9989351198871648
Chr4D	143939177	159173700	Chr4D	147334581	162539234	18	0.999777777777778
Chr4D	163710731	183649096	Chr4D	167077019	187605696	27	0.999851851851852
Chr4D	188969484	192971731	Chr4D	193520976	197515357	6	0.9998333333333332
Chr4D	195239705	198785582	Chr4D	199778260	203315304	7	1.0
Chr4D	201663396	212424003	Chr4D	206624223	218022534	27	1.0
Chr4D	214566503	228344802	Chr4D	220160688	233931217	23	0.999
Chr4D	230503918	238850566	Chr4D	236093490	244406859	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	246697096	255539276	18	1.0
Chr4D	251744642	256746015	Chr4D	258109774	263104343	7	0.999
Chr4D	259082246	261473317	Chr4D	265427665	267811820	6	1.0
Chr4D	264155329	268258812	Chr4D	270490419	274579415	7	1.0
Chr4D	270831155	284417863	Chr4D	277152750	290706202	19	0.997842105263158
Chr4D	286726699	329466878	Chr4D	293006961	335958382	223	0.9996816143497758
Chr4D	331779306	375686787	Chr4D	338263119	382329238	303	0.999854785478548
Chr4D	377775997	410310201	Chr4D	384451074	420204497	237	0.999902953586498
Chr4D	412602740	512674874	Chr4D	422987639	526891729	1180	0.9979542372881356
