cs_chr	cs_start	cs_end	Chuanmai104_tgt_chr	Chuanmai104_tgt_start	Chuanmai104_tgt_end	n_anchors	mean_identity
Chr4A	81328	52597423	Chr4A	561796	52924541	567	0.9974232804232804
Chr4A	58806973	63565133	Chr4A	57705941	62609239	46	0.9945652173913043
Chr4A	71970972	75943300	Chr4A	70563499	74573880	37	0.9931351351351352
Chr4A	81244931	130332624	Chr4A	81831389	130612013	284	0.9973415492957747
Chr4A	132517055	192330869	Chr4A	132799488	192519248	262	0.9995381679389311
Chr4A	194997349	219652885	Chr4A	195184433	219730774	45	0.9994666666666666
Chr4A	221731546	222175913	Chr4A	221803789	222248075	3	1.0
Chr4A	224910983	226677182	Chr4A	224959119	226710715	4	0.99975
Chr4A	229114346	242431315	Chr4A	229139029	242450806	21	0.9998571428571429
Chr4A	328283933	333487928	Chr4A	329246825	334448335	6	1.0
Chr4A	337968373	349413639	Chr4A	338915393	350195982	23	0.9997391304347826
Chr4A	351426691	353020297	Chr4A	352333429	353926740	4	1.0
Chr4A	355676988	358739297	Chr4A	356582588	359644960	6	0.999
Chr4A	361169426	364704441	Chr4A	362075287	365682461	5	1.0
Chr4A	372955440	386206032	Chr4A	375504014	388681231	15	0.9996666666666667
Chr4A	388345576	389986218	Chr4A	390807844	392433008	3	1.0
Chr4A	394095303	397542408	Chr4A	396492907	399922752	6	1.0
Chr4A	399782828	400323386	Chr4A	402141516	402692626	3	0.9986666666666667
Chr4A	406605144	419576751	Chr4A	408920559	421958000	17	0.9996470588235294
Chr4A	421807811	507495678	Chr4A	424172131	509419982	415	0.9983855421686745
Chr4A	509609425	641040255	Chr4A	511547213	646107536	1476	0.9978523035230352
Chr4A	663334971	667516885	Chr4A	667029977	672155191	37	0.9932162162162163
