cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr1B	706647	31339892	Chr1B	285239	34356334	393	0.9886666666666665
Chr1B	34045861	38402288	Chr1B	35753796	41066459	29	0.9936896551724138
Chr1B	40611674	81974218	Chr1B	42335039	84239646	256	0.9903710937499999
Chr1B	86500196	91210816	Chr1B	91172378	97932006	16	0.9904375
Chr1B	93460686	224268457	Chr1B	100107195	231547495	583	0.9983825042881647
Chr1B	226868456	237708948	Chr1B	234157237	244989033	15	0.9998666666666666
Chr1B	240313663	244692138	Chr1B	247594082	252341120	7	0.9987142857142857
Chr1B	246841035	249142619	Chr1B	257302524	259583503	6	0.9998333333333332
Chr1B	251958660	272130456	Chr1B	264621612	284525302	47	0.9990851063829788
Chr1B	274419536	296088628	Chr1B	286802942	308463036	79	0.999518987341772
Chr1B	298738700	298817103	Chr1B	311144521	311222946	5	0.9996
Chr1B	301350787	324212763	Chr1B	313718453	340784940	87	0.9859540229885057
Chr1B	328166615	700379038	Chr1B	341192640	720017879	2753	0.9945953505266982
Chr1B	694520083	695624598	Chr1B	720019350	720934303	13	0.997076923076923
