gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	1700615	1701570	+	1701092	1.0	0.949
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	341262	343820	-	342541	1.0	0.988
gene:TraesCS6B03G0002700	Chr6B	858141	859548	+	858844	Chr6B	404190	405592	+	404891	1.0	0.915
gene:TraesCS6B03G0003800	Chr6B	1126724	1127689	-	1127206	Chr6B	819322	820285	+	819803	0.997	0.904
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	478382	481741	+	480061	0.999	0.962
gene:TraesCS6B03G0005700	Chr6B	1553584	1555369	-	1554476	Chr6B	145611	147385	-	146498	0.993	0.989
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	1125191	1137017	+	1131104	1.0	0.992
gene:TraesCS6B03G0006900	Chr6B	1960140	1964803	+	1962471	Chr6B	1166493	1171122	+	1168807	0.999	0.995
gene:TraesCS6B03G0007000	Chr6B	2097695	2158332	-	2128013	Chr6B	1304068	1364917	-	1334492	1.0	0.999
gene:TraesCS6B03G0007100	Chr6B	2163047	2165544	-	2164295	Chr6B	1369657	1372154	-	1370905	1.0	0.999
gene:TraesCS6B03G0007200	Chr6B	2258074	2311692	-	2284883	Chr6B	1511006	1571463	-	1541234	1.0	0.999
gene:TraesCS6B03G0007500	Chr6B	2396042	2397882	+	2396962	Chr6B	1635953	1637793	+	1636873	1.0	0.997
gene:TraesCS6B03G0009100	Chr6B	2860011	2862961	-	2861486	Chr6B	438818	441912	+	440365	0.973	0.905
gene:TraesCS6B03G0011500	Chr6B	4061981	4062939	+	4062460	Chr6B	1736398	1737353	+	1736875	1.0	0.948
gene:TraesCS6B03G0011600	Chr6B	4066472	4067398	+	4066935	Chr6B	1746764	1747685	+	1747224	1.0	0.983
gene:TraesCS6B03G0011900	Chr6B	4074231	4078635	-	4076433	Chr6B	1751245	1755656	-	1753450	1.0	0.998
gene:TraesCS6B03G0012000	Chr6B	4088101	4092324	+	4090212	Chr6B	1764934	1769160	+	1767047	1.0	0.995
gene:TraesCS6B03G0012100	Chr6B	4094308	4095305	-	4094806	Chr6B	1771136	1772125	-	1771630	0.99	0.947
gene:TraesCS6B03G0012200	Chr6B	4101789	4102203	+	4101996	Chr6B	1778595	1779009	+	1778802	1.0	1.0
gene:TraesCS6B03G0012400	Chr6B	4125013	4125984	+	4125498	Chr6B	1828317	1829291	+	1828804	0.995	0.948
gene:TraesCS6B03G0013100	Chr6B	4365827	4370767	+	4368297	Chr6B	2066486	2071236	+	2068861	0.998	0.991
gene:TraesCS6B03G0013400	Chr6B	4391416	4398100	+	4394758	Chr6B	2091517	2098201	+	2094859	1.0	0.999
gene:TraesCS6B03G0013500	Chr6B	4404062	4404739	+	4404400	Chr6B	2104164	2104841	+	2104502	1.0	0.997
gene:TraesCS6B03G0013700	Chr6B	4413195	4419297	+	4416246	Chr6B	2128895	2135000	+	2131947	1.0	0.996
gene:TraesCS6B03G0013900	Chr6B	4435732	4443343	-	4439537	Chr6B	2180835	2188435	+	2184635	1.0	0.993
gene:TraesCS6B03G0014800	Chr6B	4784208	4787302	+	4785755	Chr6B	2994929	2997428	-	2996178	1.0	0.979
gene:TraesCS6B03G0015900	Chr6B	4988145	4990408	+	4989276	Chr6B	2370957	2372893	+	2371925	0.996	0.949
gene:TraesCS6B03G0016500	Chr6B	5031400	5035651	-	5033525	Chr6B	2550590	2554819	-	2552704	0.972	0.939
gene:TraesCS6B03G0016600	Chr6B	5267504	5271857	+	5269680	Chr6B	2763921	2768306	+	2766113	0.996	0.98
gene:TraesCS6B03G0016900	Chr6B	5275373	5277237	+	5276305	Chr6B	2771692	2773501	+	2772596	0.959	0.937
gene:TraesCS6B03G0017400	Chr6B	5286921	5287880	-	5287400	Chr6B	2891086	2892045	-	2891565	1.0	0.971
gene:TraesCS6B03G0019300	Chr6B	5639201	5640067	-	5639634	Chr6B	3120490	3121356	-	3120923	1.0	0.997
gene:TraesCS6B03G0019700	Chr6B	6077589	6087397	-	6082493	Chr6B	3692898	3702845	-	3697871	0.994	0.967
gene:TraesCS6B03G0019800	Chr6B	6099288	6099791	+	6099539	Chr6B	3714767	3715270	+	3715018	1.0	0.971
gene:TraesCS6B03G0019900	Chr6B	6111305	6111814	+	6111559	Chr6B	3673733	3674242	-	3673987	1.0	0.968
gene:TraesCS6B03G0020300	Chr6B	6173873	6174172	-	6174022	Chr6B	3926591	3926891	-	3926741	1.0	0.996
gene:TraesCS6B03G0021800	Chr6B	6396832	6398301	+	6397566	Chr6B	4021358	4022827	+	4022092	1.0	0.972
gene:TraesCS6B03G0021900	Chr6B	6533377	6534963	-	6534170	Chr6B	4137814	4139400	-	4138607	1.0	0.996
gene:TraesCS6B03G0022100	Chr6B	6622598	6625061	+	6623829	Chr6B	4480737	4483202	+	4481969	1.0	0.996
gene:TraesCS6B03G0022200	Chr6B	6626180	6626836	+	6626508	Chr6B	4484321	4484977	+	4484649	1.0	1.0
gene:TraesCS6B03G0022300	Chr6B	6626882	6627442	+	6627162	Chr6B	4485023	4485583	+	4485303	1.0	0.996
gene:TraesCS6B03G0022400	Chr6B	6653253	6656792	-	6655022	Chr6B	4510286	4514142	-	4512214	1.0	0.999
gene:TraesCS6B03G0022600	Chr6B	6902577	6904805	+	6903691	Chr6B	4758138	4760420	+	4759279	1.0	0.985
gene:TraesCS6B03G0022700	Chr6B	6911203	6914974	+	6913088	Chr6B	4766818	4770589	+	4768703	1.0	0.997
gene:TraesCS6B03G0022800	Chr6B	6919273	6921999	+	6920636	Chr6B	4774889	4777615	+	4776252	1.0	0.983
gene:TraesCS6B03G0022900	Chr6B	6924085	6926402	+	6925243	Chr6B	4811676	4819340	+	4815508	0.953	0.927
gene:TraesCS6B03G0023000	Chr6B	6936001	6937452	+	6936726	Chr6B	4829368	4830820	+	4830094	1.0	0.986
gene:TraesCS6B03G0023300	Chr6B	7061530	7064275	-	7062902	Chr6B	5182922	5185723	-	5184322	0.983	0.936
gene:TraesCS6B03G0023500	Chr6B	7089330	7090701	-	7090015	Chr6B	5287262	5288632	-	5287947	0.997	0.974
gene:TraesCS6B03G0023900	Chr6B	7115022	7120828	-	7117925	Chr6B	5293155	5298940	-	5296047	0.999	0.993
gene:TraesCS6B03G0024000	Chr6B	7164686	7167146	-	7165916	Chr6B	4785273	4787733	+	4786503	0.999	0.973
gene:TraesCS6B03G0024300	Chr6B	7232910	7239589	+	7236249	Chr6B	5419006	5425660	+	5422333	0.991	0.985
gene:TraesCS6B03G0024600	Chr6B	7405188	7405569	+	7405378	Chr6B	5624449	5624830	+	5624639	1.0	1.0
gene:TraesCS6B03G0024700	Chr6B	7407123	7412012	+	7409567	Chr6B	5626381	5631340	+	5628860	1.0	0.96
gene:TraesCS6B03G0024800	Chr6B	7432566	7436828	+	7434697	Chr6B	5652179	5656507	+	5654343	0.995	0.959
gene:TraesCS6B03G0024900	Chr6B	7497813	7501390	+	7499601	Chr6B	5748890	5752328	+	5750609	0.995	0.951
gene:TraesCS6B03G0025000	Chr6B	7523590	7525907	-	7524748	Chr6B	5773555	5775853	-	5774704	0.999	0.965
gene:TraesCS6B03G0025400	Chr6B	7696523	7697623	-	7697073	Chr6B	5804370	5805467	-	5804918	0.987	0.909
gene:TraesCS6B03G0025700	Chr6B	7728916	7729548	-	7729232	Chr6B	5880563	5881209	-	5880886	0.998	0.916
gene:TraesCS6B03G0025800	Chr6B	7743786	7748627	+	7746206	Chr6B	6036703	6041846	+	6039274	0.989	0.927
gene:TraesCS6B03G0026300	Chr6B	8097787	8103181	-	8100484	Chr6B	6256487	6261729	+	6259108	0.99	0.951
gene:TraesCS6B03G0027300	Chr6B	9653692	9654627	-	9654159	Chr6B	7437325	7438260	-	7437792	1.0	0.994
gene:TraesCS6B03G0027900	Chr6B	9741098	9747771	-	9744434	Chr6B	7478650	7485323	-	7481986	1.0	0.997
gene:TraesCS6B03G0028000	Chr6B	9849485	9853509	-	9851497	Chr6B	7584706	7588724	-	7586715	0.997	0.997
gene:TraesCS6B03G0028100	Chr6B	9926549	9932499	-	9929524	Chr6B	7677663	7683614	-	7680638	1.0	1.0
gene:TraesCS6B03G0028400	Chr6B	9941555	9944126	-	9942840	Chr6B	7692671	7695242	-	7693956	1.0	1.0
gene:TraesCS6B03G0028500	Chr6B	10037046	10039187	+	10038116	Chr6B	7788162	7790303	+	7789232	1.0	1.0
gene:TraesCS6B03G0029000	Chr6B	10213284	10216091	-	10214687	Chr6B	7975227	7978034	-	7976630	1.0	1.0
gene:TraesCS6B03G0029100	Chr6B	10225478	10230400	+	10227939	Chr6B	7987500	7992422	+	7989961	1.0	1.0
gene:TraesCS6B03G0029200	Chr6B	10240300	10250359	+	10245329	Chr6B	8002332	8012390	+	8007361	1.0	0.999
gene:TraesCS6B03G0029300	Chr6B	10250755	10251366	-	10251060	Chr6B	8012786	8013397	-	8013091	1.0	1.0
gene:TraesCS6B03G0029400	Chr6B	10251988	10252587	-	10252287	Chr6B	8014019	8014618	-	8014318	1.0	1.0
gene:TraesCS6B03G0029500	Chr6B	10257018	10260872	+	10258945	Chr6B	8019049	8022903	+	8020976	1.0	0.999
gene:TraesCS6B03G0029700	Chr6B	10268900	10269590	+	10269245	Chr6B	8030930	8031620	+	8031275	1.0	1.0
gene:TraesCS6B03G0030100	Chr6B	10276242	10276790	+	10276516	Chr6B	8037672	8038220	+	8037946	1.0	0.991
gene:TraesCS6B03G0032400	Chr6B	10680346	10680846	-	10680596	Chr6B	8292890	8293393	-	8293141	1.0	0.992
gene:TraesCS6B03G0032500	Chr6B	10687959	10689500	-	10688729	Chr6B	8300907	8302448	-	8301677	1.0	0.996
gene:TraesCS6B03G0032700	Chr6B	10721073	10721825	+	10721449	Chr6B	8335545	8336262	+	8335903	0.953	0.944
gene:TraesCS6B03G0032800	Chr6B	10794482	10796265	-	10795373	Chr6B	8385068	8386847	-	8385957	1.0	0.994
gene:TraesCS6B03G0032900	Chr6B	10807269	10808929	-	10808099	Chr6B	8406736	8408399	-	8407567	1.0	0.986
gene:TraesCS6B03G0033000	Chr6B	10813143	10815983	+	10814563	Chr6B	8412620	8415462	+	8414041	1.0	0.987
gene:TraesCS6B03G0033300	Chr6B	10901175	10901981	+	10901578	Chr6B	8493143	8493949	+	8493546	1.0	0.994
