gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity
gene:TraesCS7A03G0000200	Chr7A	237447	240619	+	239033	Chr7A	7700398	7703570	-	7701984	1.0	0.999
gene:TraesCS7A03G0000300	Chr7A	241763	245662	-	243712	Chr7A	7695356	7699254	+	7697305	1.0	1.0
gene:TraesCS7A03G0000400	Chr7A	249969	253391	+	251680	Chr7A	7687629	7691051	-	7689340	1.0	1.0
gene:TraesCS7A03G0001000	Chr7A	287782	289092	+	288437	Chr7A	7653910	7655223	-	7654566	1.0	1.0
gene:TraesCS7A03G0001800	Chr7A	329150	329954	+	329552	Chr7A	7613046	7613850	-	7613448	1.0	1.0
gene:TraesCS7A03G0001900	Chr7A	339975	343261	-	341618	Chr7A	7599729	7603015	+	7601372	1.0	0.999
gene:TraesCS7A03G0002500	Chr7A	458993	460972	-	459982	Chr7A	7482008	7483987	+	7482997	1.0	1.0
gene:TraesCS7A03G0002900	Chr7A	625626	629540	+	627583	Chr7A	7304843	7308756	-	7306799	1.0	0.998
gene:TraesCS7A03G0003000	Chr7A	636996	649433	-	643214	Chr7A	7284951	7297388	+	7291169	1.0	1.0
gene:TraesCS7A03G0003400	Chr7A	751650	755043	-	753346	Chr7A	7257147	7260540	+	7258843	1.0	1.0
gene:TraesCS7A03G0003500	Chr7A	776562	777005	-	776783	Chr7A	7235189	7235632	+	7235410	1.0	1.0
gene:TraesCS7A03G0004100	Chr7A	965060	971771	+	968415	Chr7A	7040428	7047139	-	7043783	1.0	1.0
gene:TraesCS7A03G0004300	Chr7A	1116397	1117068	+	1116732	Chr7A	6895349	6896020	-	6895684	1.0	1.0
gene:TraesCS7A03G0004500	Chr7A	1168399	1170394	+	1169396	Chr7A	6855328	6857323	-	6856325	1.0	0.999
gene:TraesCS7A03G0004800	Chr7A	1288480	1289699	+	1289089	Chr7A	6737544	6738763	-	6738153	1.0	1.0
gene:TraesCS7A03G0004900	Chr7A	1292673	1293108	-	1292890	Chr7A	6734135	6734570	+	6734352	1.0	1.0
gene:TraesCS7A03G0005000	Chr7A	1295626	1310738	-	1303182	Chr7A	6716596	6731615	+	6724105	1.0	0.999
gene:TraesCS7A03G0005100	Chr7A	1331278	1332098	-	1331688	Chr7A	6695788	6696608	+	6696198	1.0	1.0
gene:TraesCS7A03G0005200	Chr7A	1335552	1337332	-	1336442	Chr7A	6690554	6692334	+	6691444	1.0	1.0
gene:TraesCS7A03G0006500	Chr7A	1536839	1539713	+	1538276	Chr7A	6633384	6636258	-	6634821	1.0	1.0
gene:TraesCS7A03G0006900	Chr7A	1705137	1706808	+	1705972	Chr7A	6405610	6407281	-	6406445	1.0	1.0
gene:TraesCS7A03G0007000	Chr7A	1709690	1715064	+	1712377	Chr7A	6397355	6402728	-	6400041	1.0	0.999
gene:TraesCS7A03G0007100	Chr7A	1716639	1726072	-	1721355	Chr7A	6386347	6395780	+	6391063	1.0	1.0
gene:TraesCS7A03G0007200	Chr7A	1727345	1733016	+	1730180	Chr7A	6379403	6385074	-	6382238	1.0	1.0
gene:TraesCS7A03G0007300	Chr7A	1733546	1738771	-	1736158	Chr7A	6373648	6378873	+	6376260	1.0	1.0
gene:TraesCS7A03G0007400	Chr7A	1757255	1763142	-	1760198	Chr7A	6350174	6356061	+	6353117	1.0	1.0
gene:TraesCS7A03G0007600	Chr7A	1963947	1966400	-	1965173	Chr7A	6213519	6215972	+	6214745	1.0	1.0
gene:TraesCS7A03G0007500	Chr7A	1963777	1966710	-	1965243	Chr7A	6213209	6216142	+	6214675	1.0	1.0
gene:TraesCS7A03G0007700	Chr7A	1984711	1990302	-	1987506	Chr7A	6112190	6117781	+	6114985	1.0	1.0
gene:TraesCS7A03G0007800	Chr7A	1991641	1995052	-	1993346	Chr7A	6107440	6110851	+	6109145	1.0	1.0
gene:TraesCS7A03G0007900	Chr7A	1999166	2001559	+	2000362	Chr7A	6100940	6103327	-	6102133	0.996	0.993
gene:TraesCS7A03G0008000	Chr7A	2002174	2006210	-	2004192	Chr7A	6096293	6100325	+	6098309	0.992	0.985
gene:TraesCS7A03G0008400	Chr7A	2059191	2064602	+	2061896	Chr7A	6026873	6032241	-	6029557	0.98	0.973
gene:TraesCS7A03G0008800	Chr7A	2119023	2128730	+	2123876	Chr7A	5893160	5902866	-	5898013	1.0	1.0
gene:TraesCS7A03G0010100	Chr7A	2684032	2686882	-	2685457	Chr7A	3851107	3854226	-	3852666	0.987	0.92
gene:TraesCS7A03G0010400	Chr7A	2735543	2735899	+	2735721	Chr7A	5081770	5082126	+	5081948	1.0	0.98
gene:TraesCS7A03G0011200	Chr7A	2825033	2831859	-	2828446	Chr7A	5118884	5127203	+	5123043	0.997	0.984
gene:TraesCS7A03G0011300	Chr7A	2845787	2850612	+	2848199	Chr7A	5105179	5110912	-	5108045	0.998	0.982
gene:TraesCS7A03G0012800	Chr7A	3067984	3069180	+	3068582	Chr7A	4654026	4655221	-	4654623	0.996	0.945
gene:TraesCS7A03G0016700	Chr7A	3898594	3902526	+	3900560	Chr7A	2933620	2937456	-	2935538	0.997	0.989
gene:TraesCS7A03G0017000	Chr7A	3922888	3926902	-	3924895	Chr7A	2900622	2904626	+	2902624	1.0	0.989
gene:TraesCS7A03G0017300	Chr7A	3958659	3963485	-	3961072	Chr7A	2859638	2864464	+	2862051	0.999	0.993
gene:TraesCS7A03G0017400	Chr7A	3964572	3969793	-	3967182	Chr7A	2853339	2858551	+	2855945	0.995	0.992
gene:TraesCS7A03G0017500	Chr7A	3969939	3972006	+	3970972	Chr7A	2851137	2853193	-	2852165	1.0	0.997
gene:TraesCS7A03G0017700	Chr7A	3977724	3980995	-	3979359	Chr7A	2839837	2843145	+	2841491	1.0	0.997
gene:TraesCS7A03G0017900	Chr7A	4025082	4030195	-	4027638	Chr7A	2799397	2804484	+	2801940	0.994	0.986
