cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr2D	84238	215062920	Chr2D	141271	218497325	2228	0.9979578096947934
Chr2D	217854985	226021304	Chr2D	221275602	229403493	13	0.9996153846153847
Chr2D	228439393	238204054	Chr2D	231820222	241581090	10	0.9998000000000001
Chr2D	240232637	259978877	Chr2D	243602113	263128200	32	0.9999375
Chr2D	263858571	270527810	Chr2D	263750016	270407797	14	0.9997857142857144
Chr2D	273178435	283308056	Chr2D	273000777	286341629	30	0.9988666666666666
Chr2D	285583565	631558745	Chr2D	288609663	640160289	2766	0.9951670281995662
Chr2D	634778188	639702735	Chr2D	640971039	645907098	88	0.9996022727272728
Chr2D	631579184	634718022	Chr2D	645967316	649113705	42	0.9997142857142857
Chr2D	639799327	640578002	Chr2D	640279650	640875389	15	0.9694666666666667
