cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr3D	2010875	18782873	Chr3D	6945870	24397587	309	0.9941067961165048
Chr3D	5151602	5385051	Chr3D	10936587	14846663	3	0.9289999999999999
Chr3D	17291113	116955327	Chr3D	22989587	137522797	1013	0.9993849950641658
Chr3D	119094314	145655212	Chr3D	139652877	166205293	160	0.9997125
Chr3D	147725835	194192900	Chr3D	168313401	215344425	262	0.9996221374045802
Chr3D	198584926	200969144	Chr3D	219726512	222126542	4	0.99975
Chr3D	203187169	203224239	Chr3D	224633454	224669509	4	1.0
Chr3D	207531742	214535149	Chr3D	228967259	235484001	11	0.999909090909091
Chr3D	216957444	220088873	Chr3D	237895129	241006802	6	0.9996666666666667
Chr3D	226016244	232933791	Chr3D	247075157	253954787	13	0.9999230769230769
Chr3D	235055553	258632836	Chr3D	258511581	284008831	42	0.9997857142857145
Chr3D	260879965	440598505	Chr3D	286252578	465618537	1182	0.9992961082910322
Chr3D	471255069	481168190	Chr3D	495122212	505000177	86	0.9976976744186046
Chr3D	510319269	571894878	Chr3D	535680285	597441563	707	0.999065063649222
Chr3D	574320863	619489515	Chr3D	597586261	642177895	701	0.9967631954350927
Chr3D	440757574	470258218	Chr3D	505995168	535515798	291	0.9992268041237112
Chr3D	481583729	492833467	Chr3D	483494221	494707142	107	0.9994485981308412
Chr3D	495347019	509889213	Chr3D	465992116	480497082	165	0.9993454545454545
