cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr6A	119203	2954571	Chr6A	11794055	15409498	48	0.9821666666666666
Chr6A	7854473	13783436	Chr6A	238213	6087552	98	0.9811530612244899
Chr6A	3495564	7484319	Chr6A	6439184	11321650	54	0.9878518518518519
Chr6A	13814631	165560133	Chr6A	18221335	167912269	1251	0.9946434852118305
Chr6A	169123596	174751019	Chr6A	171453729	177104574	30	0.9996333333333335
Chr6A	177010402	237636332	Chr6A	179361964	239507476	204	0.9992598039215685
Chr6A	243810148	244731119	Chr6A	245662600	246578904	3	1.0
Chr6A	251103689	255370132	Chr6A	252997236	257256857	8	1.0
Chr6A	257566273	264313435	Chr6A	259460048	266205832	22	0.9998181818181819
Chr6A	266482395	275860435	Chr6A	268374873	277876987	21	0.9998571428571429
Chr6A	278883582	290338890	Chr6A	281527774	292868350	15	0.9997333333333334
Chr6A	293863739	319731587	Chr6A	296280877	323060833	28	0.9997142857142858
Chr6A	323819925	326827584	Chr6A	327134017	330101298	8	0.9995
Chr6A	328915123	332571498	Chr6A	332183088	335831882	6	1.0
Chr6A	334687288	346665213	Chr6A	337955877	349876620	16	0.9996875000000001
Chr6A	349035941	349057392	Chr6A	352250533	352271984	3	1.0
Chr6A	354380382	355885891	Chr6A	357566003	359068174	4	0.9977499999999999
Chr6A	357954045	528717530	Chr6A	361120324	530987149	861	0.9984518002322881
Chr6A	530890411	622584375	Chr6A	533156063	626256708	1126	0.9938836589698047
