gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity	segment
gene:TraesCS5B03G0327900	Chr5B	215583413	215600600	+	215592006	Chr5B	210895953	210913149	-	210904551	1.0	0.998	rearrangement:Chr5B_block2
gene:TraesCS5B03G0328400	Chr5B	215823568	215827924	+	215825746	Chr5B	210637973	210642330	-	210640151	0.999	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B03G0328500	Chr5B	215828621	215830036	-	215829328	Chr5B	210635861	210637276	+	210636568	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B03G0328600	Chr5B	215977281	215990775	+	215984028	Chr5B	210481109	210494586	-	210487847	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0328800	Chr5B	215983461	215993940	-	215988700	Chr5B	210477948	210488429	+	210483188	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B03G0329500	Chr5B	216438788	216443208	+	216440998	Chr5B	210030786	210035200	-	210032993	0.998	0.998	rearrangement:Chr5B_block2
gene:TraesCS5B03G0329700	Chr5B	216442708	216448993	-	216445850	Chr5B	210025002	210031286	+	210028144	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B03G0329800	Chr5B	216658831	216666036	-	216662433	Chr5B	209818366	209825571	+	209821968	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B03G0331400	Chr5B	219118342	219136248	+	219127295	Chr5B	207316302	207333733	-	207325017	0.998	0.998	rearrangement:Chr5B_block1
gene:TraesCS5B03G0331700	Chr5B	219632397	219632894	+	219632645	Chr5B	206805740	206806237	-	206805988	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0331800	Chr5B	219633983	219638918	-	219636450	Chr5B	206799716	206804651	+	206802183	1.0	0.997	rearrangement:Chr5B_block1
gene:TraesCS5B03G0331900	Chr5B	219639107	219643759	+	219641433	Chr5B	206794878	206799527	-	206797202	0.998	0.998	rearrangement:Chr5B_block1
gene:TraesCS5B03G0332700	Chr5B	219887236	219891113	+	219889174	Chr5B	206549851	206553729	-	206551790	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B03G0332800	Chr5B	219890616	219896929	-	219893772	Chr5B	206544051	206550348	+	206547199	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B03G0333200	Chr5B	220066089	220100197	-	220083143	Chr5B	206340022	206374141	+	206357081	0.999	0.997	rearrangement:Chr5B_block1
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	5131956	5137090	-	5134523	0.998	0.981	collinear
gene:TraesCS5B03G0000800	Chr5B	85900	87414	-	86657	Chr5B	4891538	4893052	+	4892295	1.0	0.997	collinear
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	4782693	4788316	-	4785504	0.998	0.996	collinear
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	4779011	4782171	+	4780591	0.995	0.978	collinear
gene:TraesCS5B03G0001200	Chr5B	227704	231809	+	229756	Chr5B	4758217	4762362	-	4760289	0.999	0.997	collinear
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	4202678	4203001	-	4202839	1.0	0.993	collinear
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	5658301	5662791	-	5660546	1.0	0.984	collinear
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	5533979	5535833	+	5534906	1.0	0.993	collinear
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	5517722	5520661	-	5519191	1.0	0.989	collinear
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	155344	155706	-	155525	1.0	1.0	collinear
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	156478	157017	+	156747	1.0	1.0	collinear
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	293212	299139	+	296175	1.0	1.0	collinear
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	348326	349064	+	348695	1.0	1.0	collinear
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	368486	380636	+	374561	1.0	1.0	collinear
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	752972	754158	-	753565	1.0	1.0	collinear
gene:TraesCS5B03G0003900	Chr5B	2728736	2729284	+	2729010	Chr5B	779162	779710	+	779436	1.0	1.0	collinear
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	1091356	1092861	-	1092108	1.0	1.0	collinear
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	1168595	1170042	-	1169318	1.0	1.0	collinear
