cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr4A	81328	3431615	Chr4A	8256256	11487223	58	0.9954655172413792
Chr4A	9020857	11568237	Chr4A	34364	2624547	29	0.9981724137931034
Chr4A	54084528	57795798	Chr4A	62606899	66409858	19	0.9963684210526315
Chr4A	75809354	78736365	Chr4A	66711437	69694644	19	0.996842105263158
Chr4A	64962344	70298466	Chr4A	75193098	80442191	40	0.994125
Chr4A	255891836	264172555	Chr4A	297840150	306064183	14	0.9992857142857143
Chr4A	266692038	291455005	Chr4A	245294731	324787674	37	0.9987567567567568
Chr4A	293591696	312125594	Chr4A	255351289	273791144	26	0.9996538461538461
Chr4A	317950774	326248331	Chr4A	279600605	287853915	54	0.9991111111111111
Chr4A	3782468	8559886	Chr4A	3084282	7896633	80	0.997625
Chr4A	11592891	52597423	Chr4A	11622077	51963220	394	0.9975634517766498
Chr4A	58091747	62581362	Chr4A	57718954	62290060	45	0.9958666666666665
Chr4A	70786719	75430558	Chr4A	70052455	74718148	37	0.9932432432432431
Chr4A	81244931	130332624	Chr4A	80810833	129648181	284	0.9971971830985914
Chr4A	132517055	192330869	Chr4A	131826106	191697808	262	0.999416030534351
Chr4A	194997349	219652885	Chr4A	194364609	218909613	45	0.9994222222222223
Chr4A	221731546	222175913	Chr4A	220976490	221404914	3	1.0
Chr4A	224910983	226677182	Chr4A	224117459	225861783	4	0.9995
Chr4A	229114346	242431315	Chr4A	228279071	241588393	21	0.9998095238095237
Chr4A	328283933	333487928	Chr4A	326213710	331472507	6	0.9994999999999999
Chr4A	337968373	349413639	Chr4A	335942121	347226956	23	0.9983913043478261
Chr4A	351426691	353020297	Chr4A	349347566	350940517	4	1.0
Chr4A	355676988	358739297	Chr4A	353587426	356657972	6	0.9998333333333332
Chr4A	361169426	364704441	Chr4A	359085536	362641111	5	1.0
Chr4A	372955440	386206032	Chr4A	372475289	385666122	15	0.9996000000000002
Chr4A	388345576	389986218	Chr4A	387788888	389397805	3	1.0
Chr4A	394095303	397542408	Chr4A	393488693	396926727	6	1.0
Chr4A	399782828	400323386	Chr4A	399155097	399706190	3	0.999
Chr4A	406605144	419576751	Chr4A	405925204	418776501	17	0.9997058823529412
Chr4A	421807811	507495678	Chr4A	420991132	505965400	414	0.998473429951691
Chr4A	509609425	641040255	Chr4A	508076198	642775677	1490	0.9975946308724832
Chr4A	664152825	669099810	Chr4A	662249341	667797778	45	0.9960444444444445
Chr4A	688562054	708656027	Chr4A	689487086	710398164	156	0.996967948717949
Chr4A	711971637	724142532	Chr4A	710490575	724622292	103	0.9849902912621359
Chr4A	641496064	652385028	Chr4A	677428220	688981753	58	0.9872758620689657
Chr4A	656116720	663838475	Chr4A	667996139	676190408	59	0.9770508474576272
Chr4A	669231977	688424293	Chr4A	642850143	662144317	250	0.9996520000000001
Chr4A	709035712	711559567	Chr4A	713948876	716928480	25	0.9791200000000001
Chr4A	724235066	754057084	Chr4A	728418135	759424496	307	0.9851824104234529
