gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity	segment
gene:TraesCS4A03G0010400	Chr4A	3781940	3782996	+	3782468	Chr4A	7896105	7897161	-	7896633	1.0	0.995	collinear
gene:TraesCS4A03G0010500	Chr4A	3851393	3859754	-	3855573	Chr4A	7818705	7827034	+	7822869	1.0	0.998	collinear
gene:TraesCS4A03G0010700	Chr4A	3982734	3986342	-	3984538	Chr4A	7680089	7683712	+	7681900	1.0	0.991	collinear
gene:TraesCS4A03G0011000	Chr4A	4137896	4141435	+	4139665	Chr4A	7511005	7514545	-	7512775	1.0	0.996	collinear
gene:TraesCS4A03G0011100	Chr4A	4172321	4175894	-	4174107	Chr4A	7476547	7480121	+	7478334	1.0	0.999	collinear
gene:TraesCS4A03G0011200	Chr4A	4219071	4222355	-	4220713	Chr4A	7430062	7433346	+	7431704	1.0	1.0	collinear
gene:TraesCS4A03G0011700	Chr4A	4444831	4448386	-	4446608	Chr4A	7204039	7207588	+	7205813	0.998	0.985	collinear
gene:TraesCS4A03G0011800	Chr4A	4499291	4504470	-	4501880	Chr4A	7147948	7153128	+	7150538	1.0	1.0	collinear
gene:TraesCS4A03G0011900	Chr4A	4560580	4567056	-	4563818	Chr4A	7085034	7091485	+	7088259	1.0	0.999	collinear
gene:TraesCS4A03G0012300	Chr4A	4591425	4593909	-	4592667	Chr4A	7058236	7060720	+	7059478	1.0	0.999	collinear
gene:TraesCS4A03G0012400	Chr4A	4596684	4602109	-	4599396	Chr4A	7050019	7055444	+	7052731	1.0	0.997	collinear
gene:TraesCS4A03G0012600	Chr4A	4608919	4609802	+	4609360	Chr4A	7030560	7031289	-	7030924	0.928	0.928	collinear
gene:TraesCS4A03G0012700	Chr4A	4613865	4615981	+	4614923	Chr4A	7024349	7026465	-	7025407	1.0	0.999	collinear
gene:TraesCS4A03G0012800	Chr4A	4746764	4750893	-	4748828	Chr4A	6889417	6893553	+	6891485	1.0	1.0	collinear
gene:TraesCS4A03G0013000	Chr4A	4765486	4768837	-	4767161	Chr4A	6876526	6879877	+	6878201	1.0	1.0	collinear
gene:TraesCS4A03G0013100	Chr4A	4788667	4792278	+	4790472	Chr4A	6853065	6856676	-	6854870	1.0	0.996	collinear
gene:TraesCS4A03G0013200	Chr4A	4793797	4794162	+	4793979	Chr4A	6851181	6851546	-	6851363	1.0	0.997	collinear
gene:TraesCS4A03G0013400	Chr4A	4804208	4805190	-	4804699	Chr4A	6840152	6841134	+	6840643	1.0	1.0	collinear
gene:TraesCS4A03G0013500	Chr4A	4813813	4815493	-	4814653	Chr4A	6829842	6831522	+	6830682	1.0	0.999	collinear
gene:TraesCS4A03G0013600	Chr4A	4817972	4819251	+	4818611	Chr4A	6826084	6827363	-	6826723	1.0	1.0	collinear
gene:TraesCS4A03G0013700	Chr4A	4836842	4840913	+	4838877	Chr4A	6804434	6808505	-	6806469	1.0	0.999	collinear
gene:TraesCS4A03G0014400	Chr4A	5028278	5031575	+	5029926	Chr4A	6614877	6618174	-	6616525	1.0	1.0	collinear
gene:TraesCS4A03G0014600	Chr4A	5084326	5085797	+	5085061	Chr4A	6551458	6552929	-	6552193	1.0	1.0	collinear
gene:TraesCS4A03G0014700	Chr4A	5155150	5161485	+	5158317	Chr4A	6475742	6482094	-	6478918	1.0	1.0	collinear
gene:TraesCS4A03G0014800	Chr4A	5181978	5189544	-	5185761	Chr4A	6448121	6455509	+	6451815	1.0	1.0	collinear
gene:TraesCS4A03G0014900	Chr4A	5308550	5310305	+	5309427	Chr4A	6330054	6331809	-	6330931	1.0	1.0	collinear
gene:TraesCS4A03G0015000	Chr4A	5364132	5366668	+	5365400	Chr4A	6273700	6276235	-	6274967	1.0	1.0	collinear
gene:TraesCS4A03G0015100	Chr4A	5422681	5425025	+	5423853	Chr4A	6215559	6217903	-	6216731	1.0	1.0	collinear
gene:TraesCS4A03G0015500	Chr4A	5483729	5485212	+	5484470	Chr4A	6157660	6159143	-	6158401	1.0	1.0	collinear
