cs_chr	Fielder_tgt_chr	n_anchors	Fielder_mean_anchor_gap_Mb	Fielder_interp_type	n_segments	Fielder_mean_anchor_fraction
Chr1A	Chr1A+Chr1A	4096	0.088	linear+linear	2	0.958
Chr1B	Chr1B+Chr1B	4289	0.128	linear+linear	2	0.935
Chr1D	Chr1D+Chr1D+Chr1D	4372	0.08	linear+linear+pchip_inverted	3	0.976
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5327	0.207	linear+pchip_inverted+linear+linear+linear	5	0.914
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B	5481	0.234	linear+linear+linear+linear	4	0.919
Chr2D	Chr2D+Chr2D+Chr2D	5240	0.182	linear+linear+linear	3	0.935
Chr3A	Chr3A+Chr3A+Chr3A	4994	0.105	linear+pchip+linear	3	0.971
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5485	0.139	linear+linear+linear+linear+linear+pchip_inverted	6	0.934
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	5071	0.1	linear+linear+pchip_inverted+pchip_inverted+pchip_inverted	5	0.977
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4482	0.243	linear+pchip_inverted+linear+linear+pchip_inverted+linear+linear+linear+linear+linear	10	0.954
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B+Chr4B+Chr4B	3745	0.149	linear+linear+linear+linear+linear+linear	6	0.972
Chr4D	Chr4D	3540	0.145	linear	1	0.99
Chr5A	Chr5A+Chr5A	5256	0.237	linear+linear	2	0.966
Chr5B	Chr5B+Chr5B+Chr5B	5098	0.151	linear+linear+linear	3	0.912
Chr5D	Chr5D+Chr5D+Chr5D	5439	0.092	linear+pchip+pchip	3	0.98
Chr6A	Chr6A+Chr6A+Chr6A	3811	0.097	linear+pchip_inverted+linear	3	0.962
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	4073	0.42	linear+pchip_inverted+pchip_inverted+linear+linear+linear+linear+pchip_inverted+pchip_inverted	9	0.892
Chr6D	Chr6D+Chr6D	3591	0.096	linear+linear	2	0.953
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A	5127	0.132	linear+linear+pchip_inverted+linear	4	0.954
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4273	0.102	linear+linear+pchip+pchip_inverted+linear	5	0.807
Chr7D	Chr7D	5240	0.123	linear	1	0.972
