cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr6B	185573418	204631629	Chr6B	211446197	231158363	96	0.99684375
Chr6B	211501199	233183930	Chr6B	182294541	204576099	86	0.9945697674418604
Chr6B	266375153	268713242	Chr6B	260111507	262460852	9	0.9978888888888888
Chr6B	320265298	324021524	Chr6B	309143426	312728504	7	0.9978571428571429
Chr6B	352634401	363784669	Chr6B	397963429	412156100	27	0.9986296296296295
Chr6B	367054723	376248217	Chr6B	385441597	394666657	16	0.998625
Chr6B	381551074	387071487	Chr6B	369222369	376356809	8	0.998625
Chr6B	393616244	405619773	Chr6B	350649634	362685433	33	0.9976969696969696
Chr6B	304323	91943633	Chr6B	146498	91360185	885	0.9919661016949153
Chr6B	96358419	109698670	Chr6B	92370904	105654347	74	0.9998513513513514
Chr6B	112200748	114854793	Chr6B	108148481	110803588	7	0.9998571428571429
Chr6B	117445277	184521061	Chr6B	115028493	181522527	449	0.9922895322939865
Chr6B	205097353	211410725	Chr6B	204645231	210961835	49	0.9988775510204082
Chr6B	233356422	246426312	Chr6B	231649549	244772028	81	0.9995185185185187
Chr6B	249274084	256302862	Chr6B	247764052	254193473	22	0.994409090909091
Chr6B	261263057	262271447	Chr6B	255055917	256033221	9	0.9983333333333333
Chr6B	264286668	265049834	Chr6B	259015478	259756878	4	0.99725
Chr6B	276666495	289129738	Chr6B	270965049	283339591	43	0.998139534883721
Chr6B	292829101	298890153	Chr6B	287357974	293927098	22	0.9939999999999999
Chr6B	301908638	308701890	Chr6B	296327196	303273130	27	0.9964814814814815
Chr6B	310986731	319319827	Chr6B	305502522	318439520	17	0.999
Chr6B	325667537	327439454	Chr6B	320667133	322504217	9	0.9974444444444445
Chr6B	348550830	349949438	Chr6B	346968972	348279111	5	0.9960000000000001
Chr6B	376711447	380913451	Chr6B	380886548	384965758	5	0.9996
Chr6B	410641112	432650099	Chr6B	415310871	437137405	56	0.9974821428571429
Chr6B	438515907	449326149	Chr6B	437965029	449330131	51	0.998843137254902
Chr6B	452819490	486984757	Chr6B	452825202	491257881	170	0.9959
Chr6B	503691318	509385794	Chr6B	506195109	512801577	31	0.9996451612903227
Chr6B	524252260	629148387	Chr6B	529793252	634498561	645	0.9965829457364341
Chr6B	631157333	635284956	Chr6B	636412265	640484829	32	0.9936562499999999
Chr6B	638657051	731065543	Chr6B	642987233	737936034	932	0.9912070815450643
Chr6B	487287532	502558148	Chr6B	513921812	529478279	69	0.9930289855072465
Chr6B	509777123	523759415	Chr6B	491931739	505804205	88	0.9988863636363636
