cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr6D	10528246	13465919	Chr6D	11240897	14202042	61	0.9997704918032787
Chr6D	18388545	27630303	Chr6D	16953998	26525539	128	0.9997343750000001
Chr6D	32741204	38579793	Chr6D	31568306	40098549	92	0.9996086956521739
Chr6D	41537060	46120294	Chr6D	43088164	47660328	67	0.999089552238806
Chr6D	49876700	56759409	Chr6D	54449908	62381238	59	0.9987118644067796
Chr6D	64544097	186375773	Chr6D	70841059	193025963	947	0.9992280887011615
Chr6D	188380630	235958205	Chr6D	195035850	243064039	72	0.99975
Chr6D	238222872	248745870	Chr6D	246290722	256141056	15	0.9992666666666667
Chr6D	253451229	261093398	Chr6D	260836724	268464676	12	0.9999166666666667
Chr6D	263489417	302615547	Chr6D	270860972	311366942	144	0.9989930555555557
Chr6D	304859324	436495956	Chr6D	313594631	445085976	1030	0.9994912621359224
Chr6D	439160889	495303957	Chr6D	447744769	505789165	898	0.9959576837416481
