gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	5292312	5298112	-	5295212	0.997	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	5303364	5307559	+	5305461	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	5471335	5472762	+	5472048	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	5712855	5713187	-	5713021	1.0	0.996
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	5712855	5713213	-	5713034	1.0	0.997
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	5499659	5499991	-	5499825	1.0	1.0
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	5759545	5763890	-	5761717	1.0	1.0
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	5926022	5929042	+	5927532	1.0	0.997
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	5929273	5935186	-	5932229	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	6523556	6524599	+	6524077	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	6531164	6533208	-	6532186	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	6599187	6604365	+	6601776	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	6699009	6706047	-	6702528	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	6797243	6800176	+	6798709	1.0	1.0
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	6860287	6861996	+	6861141	0.995	0.995
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	3912256	3914955	-	3913605	1.0	1.0
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	4144543	4144908	-	4144725	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	4145610	4146401	+	4146005	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	4159848	4166595	+	4163221	1.0	1.0
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	4275739	4277383	-	4276561	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	4310910	4313263	+	4312086	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	4316186	4327036	+	4321611	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	4539885	4540907	-	4540396	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	4638703	4641607	+	4640155	1.0	0.999
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	4688022	4694231	+	4691126	1.0	1.0
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	4695690	4700890	-	4698290	0.991	0.987
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	4702257	4706338	-	4704297	1.0	1.0
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	4711622	4715992	+	4713807	1.0	1.0
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	4719028	4723944	+	4721486	1.0	1.0
gene:TraesCS5D03G0005300	Chr5D	2814456	2815962	+	2815209	Chr5D	4837425	4838931	+	4838178	1.0	0.999
gene:TraesCS5D03G0029100	Chr5D	7690081	7698179	+	7694130	Chr5D	7909571	7917669	+	7913620	1.0	1.0
gene:TraesCS5D03G0029200	Chr5D	7717853	7730573	-	7724213	Chr5D	7937344	7950097	-	7943720	1.0	1.0
gene:TraesCS5D03G0029700	Chr5D	7759289	7761729	-	7760509	Chr5D	7978818	7981258	-	7980038	1.0	1.0
gene:TraesCS5D03G0029900	Chr5D	7860986	7877389	-	7869187	Chr5D	8080548	8096104	-	8088326	0.9	0.9
gene:TraesCS5D03G0030400	Chr5D	8051479	8054654	+	8053066	Chr5D	8270533	8273708	+	8272120	1.0	1.0
gene:TraesCS5D03G0030600	Chr5D	8086114	8088828	-	8087471	Chr5D	8304863	8307577	-	8306220	1.0	1.0
gene:TraesCS5D03G0030800	Chr5D	8141689	8143688	+	8142688	Chr5D	8360441	8362440	+	8361440	1.0	1.0
gene:TraesCS5D03G0030900	Chr5D	8154875	8157233	+	8156054	Chr5D	8373627	8375985	+	8374806	1.0	1.0
gene:TraesCS5D03G0031100	Chr5D	8169523	8175293	-	8172408	Chr5D	8388275	8394045	-	8391160	1.0	1.0
gene:TraesCS5D03G0031300	Chr5D	8354136	8383522	+	8368829	Chr5D	8572906	8602235	+	8587570	1.0	1.0
gene:TraesCS5D03G0032500	Chr5D	8526442	8532020	+	8529231	Chr5D	8744657	8750235	+	8747446	1.0	1.0
gene:TraesCS5D03G0032700	Chr5D	8534121	8540085	-	8537103	Chr5D	8752332	8758296	-	8755314	1.0	1.0
gene:TraesCS5D03G0032800	Chr5D	8611516	8614138	-	8612827	Chr5D	8829735	8832357	-	8831046	1.0	1.0
gene:TraesCS5D03G0032900	Chr5D	8614789	8615043	-	8614916	Chr5D	8833008	8833262	-	8833135	1.0	1.0
gene:TraesCS5D03G0033000	Chr5D	8649559	8663338	-	8656448	Chr5D	8867778	8881557	-	8874667	1.0	1.0
gene:TraesCS5D03G0033100	Chr5D	8665040	8668025	-	8666532	Chr5D	8883067	8886052	-	8884559	1.0	1.0
gene:TraesCS5D03G0057600	Chr5D	20340509	20341174	+	20340841	Chr5D	24116457	24117122	+	24116789	1.0	1.0
gene:TraesCS5D03G0057700	Chr5D	21083644	21090581	+	21087112	Chr5D	24866137	24873073	+	24869605	0.999	0.999
gene:TraesCS5D03G0058200	Chr5D	21138162	21141749	+	21139955	Chr5D	24919576	24923163	+	24921369	1.0	1.0
gene:TraesCS5D03G0058700	Chr5D	21341035	21344882	+	21342958	Chr5D	27695153	27699000	+	27697076	1.0	1.0
gene:TraesCS5D03G0058800	Chr5D	21373588	21373914	+	21373751	Chr5D	27727708	27728034	+	27727871	1.0	1.0
gene:TraesCS5D03G0059400	Chr5D	21585198	21588882	-	21587040	Chr5D	27939718	27943402	-	27941560	1.0	1.0
gene:TraesCS5D03G0059800	Chr5D	21680203	21681366	-	21680784	Chr5D	28033857	28035020	-	28034438	1.0	0.999
gene:TraesCS5D03G0060300	Chr5D	21792224	21793510	+	21792867	Chr5D	28145938	28147224	+	28146581	1.0	1.0
gene:TraesCS5D03G0060900	Chr5D	22171013	22172379	+	22171696	Chr5D	29009642	29011008	-	29010325	1.0	1.0
gene:TraesCS5D03G0061300	Chr5D	22692482	22699224	+	22695853	Chr5D	29972465	29978952	+	29975708	1.0	1.0
gene:TraesCS5D03G0061400	Chr5D	22717273	22721516	-	22719394	Chr5D	29995957	30000200	-	29998078	1.0	1.0
gene:TraesCS5D03G0061500	Chr5D	22751016	22754676	-	22752846	Chr5D	30028675	30032335	-	30030505	1.0	1.0
gene:TraesCS5D03G0061600	Chr5D	22757904	22762954	-	22760429	Chr5D	30035563	30040613	-	30038088	1.0	1.0
gene:TraesCS5D03G0062100	Chr5D	23114073	23115923	+	23114998	Chr5D	30382106	30383956	+	30383031	1.0	1.0
gene:TraesCS5D03G0062500	Chr5D	23177316	23179832	-	23178574	Chr5D	30445329	30447845	-	30446587	1.0	1.0
gene:TraesCS5D03G0062700	Chr5D	23327756	23328196	-	23327976	Chr5D	30595779	30596219	-	30595999	1.0	1.0
gene:TraesCS5D03G0062900	Chr5D	23373427	23374026	-	23373726	Chr5D	30641461	30642060	-	30641760	1.0	1.0
gene:TraesCS5D03G0063000	Chr5D	23389520	23392052	+	23390786	Chr5D	30657555	30660087	+	30658821	1.0	1.0
gene:TraesCS5D03G0063100	Chr5D	23392085	23400286	-	23396185	Chr5D	30660120	30668372	-	30664246	1.0	1.0
gene:TraesCS5D03G0063200	Chr5D	23609451	23612437	-	23610944	Chr5D	30877429	30880415	-	30878922	1.0	1.0
gene:TraesCS5D03G0063500	Chr5D	23996088	23998229	+	23997158	Chr5D	31543264	31545405	+	31544334	1.0	1.0
gene:TraesCS5D03G0063700	Chr5D	24160872	24161225	-	24161048	Chr5D	31752097	31752450	-	31752273	1.0	1.0
gene:TraesCS5D03G0063800	Chr5D	24181553	24182266	+	24181909	Chr5D	31772409	31773122	+	31772765	1.0	1.0
gene:TraesCS5D03G0063900	Chr5D	24189099	24189683	+	24189391	Chr5D	31779955	31780539	+	31780247	1.0	1.0
gene:TraesCS5D03G0064000	Chr5D	24314732	24317265	-	24315998	Chr5D	31905840	31908372	-	31907106	0.999	0.999
gene:TraesCS5D03G0064200	Chr5D	24390747	24391625	-	24391186	Chr5D	31981409	31982287	-	31981848	1.0	0.998
gene:TraesCS5D03G0065000	Chr5D	24636608	24637661	+	24637134	Chr5D	32226466	32227519	+	32226992	1.0	1.0
gene:TraesCS5D03G0065200	Chr5D	24646960	24648200	+	24647580	Chr5D	32236818	32238058	+	32237438	1.0	1.0
gene:TraesCS5D03G0065300	Chr5D	24672883	24681737	-	24677310	Chr5D	32262730	32271591	-	32267160	1.0	1.0
gene:TraesCS5D03G0065700	Chr5D	24883010	24886870	+	24884940	Chr5D	32471808	32475668	+	32473738	1.0	1.0
gene:TraesCS5D03G0065800	Chr5D	25077587	25088924	+	25083255	Chr5D	32669107	32680237	+	32674672	1.0	1.0
gene:TraesCS5D03G0066700	Chr5D	25190418	25190777	-	25190597	Chr5D	32781933	32782292	-	32782112	1.0	1.0
gene:TraesCS5D03G0066800	Chr5D	25277873	25281305	+	25279589	Chr5D	32869436	32872868	+	32871152	1.0	1.0
gene:TraesCS5D03G0066900	Chr5D	25282973	25283759	-	25283366	Chr5D	32874536	32875322	-	32874929	1.0	1.0
gene:TraesCS5D03G0067000	Chr5D	25284740	25288393	-	25286566	Chr5D	32876303	32879956	-	32878129	1.0	1.0
gene:TraesCS5D03G0067100	Chr5D	25359793	25361112	+	25360452	Chr5D	32951229	32952548	+	32951888	1.0	1.0
gene:TraesCS5D03G0067400	Chr5D	25594339	25598506	+	25596422	Chr5D	33182854	33187021	+	33184937	1.0	1.0
gene:TraesCS5D03G0067500	Chr5D	25625159	25628179	-	25626669	Chr5D	33213469	33216489	-	33214979	1.0	1.0
gene:TraesCS5D03G0067600	Chr5D	25630300	25633990	-	25632145	Chr5D	33218610	33222300	-	33220455	1.0	0.999
gene:TraesCS5D03G0070100	Chr5D	27001391	27003801	-	27002596	Chr5D	34593676	34595964	-	34594820	1.0	1.0
gene:TraesCS5D03G0070200	Chr5D	27106098	27108412	+	27107255	Chr5D	34697743	34700057	+	34698900	1.0	0.999
gene:TraesCS5D03G0070300	Chr5D	27111502	27113238	-	27112370	Chr5D	34703147	34704883	-	34704015	1.0	1.0
gene:TraesCS5D03G0070500	Chr5D	27151111	27151296	+	27151203	Chr5D	34742806	34742991	+	34742898	1.0	1.0
gene:TraesCS5D03G0071000	Chr5D	27243699	27245315	-	27244507	Chr5D	34835412	34837028	-	34836220	1.0	1.0
gene:TraesCS5D03G0071400	Chr5D	27276929	27277699	-	27277314	Chr5D	34868642	34869412	-	34869027	1.0	1.0
gene:TraesCS5D03G0071500	Chr5D	27324448	27328031	+	27326239	Chr5D	34916207	34919790	+	34917998	1.0	1.0
gene:TraesCS5D03G0071800	Chr5D	27369407	27372636	+	27371021	Chr5D	34961141	34964370	+	34962755	1.0	1.0
gene:TraesCS5D03G0071900	Chr5D	27383834	27384565	-	27384199	Chr5D	34975570	34976300	-	34975935	0.998	0.996
gene:TraesCS5D03G0072200	Chr5D	27574868	27575512	-	27575190	Chr5D	35314222	35314866	-	35314544	1.0	1.0
gene:TraesCS5D03G0072300	Chr5D	27575651	27577984	-	27576817	Chr5D	35315005	35317338	-	35316171	1.0	1.0
gene:TraesCS5D03G0072400	Chr5D	27596625	27597552	+	27597088	Chr5D	35335984	35336911	+	35336447	1.0	1.0
gene:TraesCS5D03G0072600	Chr5D	27665763	27666323	-	27666043	Chr5D	35404757	35405317	-	35405037	1.0	1.0
gene:TraesCS5D03G0073000	Chr5D	27746579	27749746	+	27748162	Chr5D	35490643	35493810	+	35492226	1.0	0.999
gene:TraesCS5D03G0073200	Chr5D	27757000	27759189	-	27758094	Chr5D	35501064	35503253	-	35502158	1.0	1.0
gene:TraesCS5D03G0073100	Chr5D	27752369	27777040	+	27764704	Chr5D	35496433	35521116	+	35508774	1.0	1.0
gene:TraesCS5D03G0073400	Chr5D	27783058	27786966	+	27785012	Chr5D	35527134	35531042	+	35529088	1.0	1.0
gene:TraesCS5D03G0073600	Chr5D	27803352	27812127	-	27807739	Chr5D	35547436	35556207	-	35551821	1.0	1.0
gene:TraesCS5D03G0073700	Chr5D	27818118	27819032	-	27818575	Chr5D	35562198	35563112	-	35562655	1.0	1.0
gene:TraesCS5D03G0073800	Chr5D	27872962	27874340	+	27873651	Chr5D	35617041	35618419	+	35617730	1.0	1.0
gene:TraesCS5D03G0073900	Chr5D	27945369	27954930	-	27950149	Chr5D	35689452	35699030	-	35694241	1.0	0.997
gene:TraesCS5D03G0074000	Chr5D	28012842	28013563	+	28013202	Chr5D	35756958	35757679	+	35757318	1.0	1.0
gene:TraesCS5D03G0074100	Chr5D	28020400	28021767	-	28021083	Chr5D	35764516	35765883	-	35765199	1.0	1.0
gene:TraesCS5D03G0074200	Chr5D	28022269	28023058	+	28022663	Chr5D	35766385	35767174	+	35766779	1.0	1.0
gene:TraesCS5D03G0074600	Chr5D	28188777	28189127	-	28188952	Chr5D	35931609	35931959	-	35931784	1.0	1.0
gene:TraesCS5D03G0074700	Chr5D	28192246	28193435	+	28192840	Chr5D	35935078	35936267	+	35935672	1.0	1.0
gene:TraesCS5D03G0074900	Chr5D	28276109	28280037	+	28278073	Chr5D	36018929	36022857	+	36020893	1.0	1.0
gene:TraesCS5D03G0075000	Chr5D	28304777	28306363	-	28305570	Chr5D	36047592	36049178	-	36048385	1.0	1.0
gene:TraesCS5D03G0075300	Chr5D	28309466	28312462	-	28310964	Chr5D	36052281	36055277	-	36053779	1.0	1.0
gene:TraesCS5D03G0075800	Chr5D	28341857	28343911	-	28342884	Chr5D	36084675	36086729	-	36085702	1.0	1.0
gene:TraesCS5D03G0076000	Chr5D	28350561	28352748	+	28351654	Chr5D	36093382	36095569	+	36094475	1.0	1.0
gene:TraesCS5D03G0076300	Chr5D	28480699	28485107	+	28482903	Chr5D	36223524	36227932	+	36225728	1.0	1.0
gene:TraesCS5D03G0076500	Chr5D	28598543	28599718	+	28599130	Chr5D	36341327	36342502	+	36341914	1.0	1.0
gene:TraesCS5D03G0076700	Chr5D	28765782	28766420	+	28766101	Chr5D	36507890	36508528	+	36508209	1.0	1.0
gene:TraesCS5D03G0076800	Chr5D	28766967	28772385	-	28769676	Chr5D	36509075	36514493	-	36511784	1.0	1.0
gene:TraesCS5D03G0077800	Chr5D	28984972	28989613	-	28987292	Chr5D	36727093	36731805	-	36729449	0.998	0.996
gene:TraesCS5D03G0077900	Chr5D	29197819	29200077	-	29198948	Chr5D	36937557	36939815	-	36938686	1.0	1.0
gene:TraesCS5D03G0078200	Chr5D	29246238	29251295	+	29248766	Chr5D	36985973	36991030	+	36988501	1.0	1.0
gene:TraesCS5D03G0078500	Chr5D	29255657	29258573	+	29257115	Chr5D	36995404	36998320	+	36996862	1.0	1.0
gene:TraesCS5D03G0079100	Chr5D	29449192	29451509	+	29450350	Chr5D	37203628	37205945	+	37204786	1.0	1.0
gene:TraesCS5D03G0079400	Chr5D	29479313	29483197	+	29481255	Chr5D	37233686	37237570	+	37235628	1.0	1.0
gene:TraesCS5D03G0079500	Chr5D	29483985	29486458	-	29485221	Chr5D	37238358	37240834	-	37239596	1.0	1.0
gene:TraesCS5D03G0080000	Chr5D	29802553	29812808	+	29807680	Chr5D	37565982	37576237	+	37571109	1.0	1.0
gene:TraesCS5D03G0080100	Chr5D	29816157	29818910	+	29817533	Chr5D	37579586	37582343	+	37580964	1.0	0.997
gene:TraesCS5D03G0080200	Chr5D	29877500	29883119	-	29880309	Chr5D	37630932	37636551	-	37633741	1.0	0.999
gene:TraesCS5D03G0080300	Chr5D	29892083	29896754	+	29894418	Chr5D	37645515	37650186	+	37647850	1.0	1.0
gene:TraesCS5D03G0080500	Chr5D	29912392	29915456	-	29913924	Chr5D	37665879	37668943	-	37667411	1.0	0.999
gene:TraesCS5D03G0080700	Chr5D	29919564	29930321	-	29924942	Chr5D	37673052	37683809	-	37678430	1.0	1.0
gene:TraesCS5D03G0080800	Chr5D	29938894	29940126	+	29939510	Chr5D	37692381	37693613	+	37692997	1.0	1.0
gene:TraesCS5D03G0081100	Chr5D	30381310	30382221	-	30381765	Chr5D	38128077	38128988	-	38128532	1.0	1.0
gene:TraesCS5D03G0081200	Chr5D	30383858	30385547	-	30384702	Chr5D	38130625	38132312	-	38131468	1.0	1.0
gene:TraesCS5D03G0081300	Chr5D	30434050	30438055	-	30436052	Chr5D	38181623	38185628	-	38183625	1.0	1.0
gene:TraesCS5D03G0081600	Chr5D	30738481	30741421	-	30739951	Chr5D	38482990	38485930	-	38484460	1.0	1.0
gene:TraesCS5D03G0081700	Chr5D	30744645	30748663	-	30746654	Chr5D	38489154	38493172	-	38491163	1.0	1.0
gene:TraesCS5D03G0082200	Chr5D	30935748	30937726	+	30936737	Chr5D	38680330	38682323	+	38681326	1.0	0.965
gene:TraesCS5D03G0082600	Chr5D	30948802	30950795	-	30949798	Chr5D	38693393	38695386	-	38694389	1.0	1.0
gene:TraesCS5D03G0083500	Chr5D	31155033	31155690	+	31155361	Chr5D	38885342	38885999	+	38885670	1.0	1.0
gene:TraesCS5D03G0083700	Chr5D	31295892	31298246	-	31297069	Chr5D	39025983	39028337	-	39027160	1.0	1.0
gene:TraesCS5D03G0084100	Chr5D	31628057	31632066	-	31630061	Chr5D	39356626	39360635	-	39358630	1.0	1.0
gene:TraesCS5D03G0084300	Chr5D	31831490	31831785	-	31831637	Chr5D	39559924	39560219	-	39560071	1.0	1.0
gene:TraesCS5D03G0084500	Chr5D	32502422	32508733	-	32505577	Chr5D	40261377	40267688	-	40264532	1.0	0.999
gene:TraesCS5D03G0084600	Chr5D	32509186	32509809	+	32509497	Chr5D	40268141	40268764	+	40268452	1.0	1.0
gene:TraesCS5D03G0084700	Chr5D	32648315	32653952	-	32651133	Chr5D	40406649	40412284	-	40409466	0.998	0.998
gene:TraesCS5D03G0084900	Chr5D	33041432	33044818	+	33043125	Chr5D	40797850	40801236	+	40799543	1.0	0.999
