cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr5A	238592814	247013515	Chr5A	254208438	262615695	26	0.9996538461538461
Chr5A	14293	62409843	Chr5A	1181953	64097973	549	0.9957395264116576
Chr5A	65256920	152899436	Chr5A	66951109	154932652	397	0.9966372795969773
Chr5A	156754150	160718182	Chr5A	158785634	162914867	13	1.0
Chr5A	163084098	182449906	Chr5A	165265731	184585728	37	0.9996486486486487
Chr5A	184871905	187078746	Chr5A	187001473	189204885	4	1.0
Chr5A	192446609	200581324	Chr5A	194529868	202641144	16	0.998875
Chr5A	204816399	224020772	Chr5A	206875193	225991599	33	0.9996969696969698
Chr5A	226098410	238494644	Chr5A	228066168	240795362	28	0.9998571428571429
Chr5A	247866626	251028605	Chr5A	248521747	253355570	8	1.0
Chr5A	259606122	428812755	Chr5A	263189480	431372807	901	0.9986437291897892
Chr5A	431918117	713328361	Chr5A	431667953	714343118	3243	0.9969984582176995
