gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	1655460	1657104	+	1656282	0.997	0.903
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	2444565	2448517	+	2446541	0.992	0.96
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	2433369	2440735	-	2437052	0.969	0.912
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	2428634	2430505	-	2429569	1.0	0.991
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	2321558	2322446	+	2322002	1.0	0.962
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	2317351	2319735	-	2318543	1.0	0.999
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	2313688	2316554	+	2315121	1.0	0.998
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	2309187	2312304	+	2310745	1.0	1.0
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	2299655	2305896	+	2302775	0.993	0.99
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	2225320	2228429	-	2226874	0.998	0.977
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	2054984	2066440	+	2060712	0.992	0.969
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	400828	401753	-	401290	1.0	0.968
gene:TraesCS1B03G0008600	Chr1B	2380688	2383732	-	2382210	Chr1B	1414796	1417834	+	1416315	0.998	0.997
gene:TraesCS1B03G0008700	Chr1B	2563615	2566164	-	2564889	Chr1B	1232377	1234926	+	1233651	1.0	1.0
gene:TraesCS1B03G0008800	Chr1B	2661258	2662527	+	2661892	Chr1B	1210412	1211681	-	1211046	1.0	0.998
gene:TraesCS1B03G0008900	Chr1B	2661462	2662433	+	2661947	Chr1B	1210506	1211477	-	1210991	1.0	0.997
gene:TraesCS1B03G0009300	Chr1B	2730283	2733041	-	2731662	Chr1B	1079448	1082208	+	1080828	1.0	0.999
gene:TraesCS1B03G0009600	Chr1B	2791203	2792803	-	2792003	Chr1B	1140989	1142589	+	1141789	1.0	1.0
gene:TraesCS1B03G0009700	Chr1B	2931085	2935423	-	2933254	Chr1B	803302	807640	+	805471	1.0	1.0
