cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr2B	99691	4061240	Chr2B	7374672	10557214	33	0.9752424242424242
Chr2B	10354041	13133055	Chr2B	5023	2932157	50	0.98886
Chr2B	311093602	313513906	Chr2B	298587724	301002820	5	1.0
Chr2B	4921632	9710876	Chr2B	3310552	7341157	68	0.977205882352941
Chr2B	13185908	131021009	Chr2B	10648733	133175861	1098	0.9925974499089254
Chr2B	137271666	211003478	Chr2B	134325165	207076810	551	0.9936533575317603
Chr2B	213718220	248272484	Chr2B	207175858	241793142	206	0.9969368932038835
Chr2B	250482935	283157104	Chr2B	244248241	277056916	144	0.9991597222222222
Chr2B	285496966	304609294	Chr2B	279397207	305480298	29	0.9994482758620691
Chr2B	308444889	310240678	Chr2B	307134156	308883805	3	1.0
Chr2B	318431746	331681179	Chr2B	312151297	325356160	17	0.9997647058823531
Chr2B	333809245	346552298	Chr2B	327640324	341036975	21	0.999904761904762
Chr2B	348999066	355740303	Chr2B	343474379	350158259	8	0.9998750000000001
Chr2B	360072831	363706950	Chr2B	353580419	359968253	5	1.0
Chr2B	365734406	812514692	Chr2B	361901014	807791594	3243	0.9953897625655257
