cs_chr	cs_start	cs_end	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	n_anchors	mean_identity
Chr3B	358816687	375781155	Chr3B	371099098	388060943	32	0.9961249999999999
Chr3B	378145074	416556469	Chr3B	390385427	428995700	158	0.9960126582278481
Chr3B	74037	6805777	Chr3B	47779	7834828	139	0.9948920863309354
Chr3B	10012714	35821190	Chr3B	10963601	36533546	355	0.9935211267605634
Chr3B	38137652	46024377	Chr3B	38851118	47582811	68	0.9905441176470589
Chr3B	48356236	97070979	Chr3B	47958590	96469762	492	0.9955
Chr3B	99457041	202823600	Chr3B	98819148	203236306	589	0.9967079796264858
Chr3B	205225044	206704475	Chr3B	205699449	207233285	11	0.9984545454545454
Chr3B	209383926	219278363	Chr3B	210052868	220005501	72	0.9958055555555556
Chr3B	223825022	226529934	Chr3B	224808074	227308010	11	0.9939090909090911
Chr3B	230843333	241641396	Chr3B	230535706	243739326	50	0.99264
Chr3B	247259756	288293953	Chr3B	249194100	291104712	197	0.9952182741116752
Chr3B	295003050	296080909	Chr3B	297917752	299026359	4	0.9985
Chr3B	301146877	307711148	Chr3B	299211431	309817825	7	0.9915714285714287
Chr3B	310640808	329207761	Chr3B	313255018	333462344	22	0.9969545454545454
Chr3B	333847811	350060262	Chr3B	338103325	355229912	24	0.9940416666666666
Chr3B	352247049	358032335	Chr3B	357418240	362826509	10	0.9970000000000001
Chr3B	418922290	480164325	Chr3B	429234430	490096768	361	0.9978060941828254
Chr3B	482733323	527781257	Chr3B	492654537	536121413	257	0.9939143968871594
Chr3B	534283586	809551775	Chr3B	536194354	814172934	2171	0.9954619990787656
Chr3B	815722645	820942472	Chr3B	819351159	824613867	43	0.9845813953488372
Chr3B	826802247	839959341	Chr3B	834253521	847148654	164	0.9980182926829269
Chr3B	845044646	849103100	Chr3B	850077131	855015757	37	0.9977297297297298
Chr3B	809787178	815686910	Chr3B	824662327	832083721	56	0.9896964285714286
Chr3B	820790441	826160865	Chr3B	814311786	819401792	41	0.9885365853658536
Chr3B	840070666	845013318	Chr3B	855050922	861113858	76	0.9831842105263157
Chr3B	850163603	851872904	Chr3B	847375895	849039905	31	0.9991612903225806
