gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Fielder_tgt_chr	Fielder_tgt_start	Fielder_tgt_end	Fielder_tgt_strand	Fielder_tgt_midpoint	Fielder_coverage	Fielder_identity
gene:TraesCS6D03G0017700	Chr6D	3314006	3317537	+	3315771	Chr6D	679414	682944	-	681179	1.0	1.0
gene:TraesCS6D03G0017800	Chr6D	3344049	3346451	-	3345250	Chr6D	650499	652901	+	651700	1.0	0.999
gene:TraesCS6D03G0049600	Chr6D	10525555	10530937	-	10528246	Chr6D	14199350	14204734	+	14202042	0.999	0.998
gene:TraesCS6D03G0049800	Chr6D	10597334	10598428	+	10597881	Chr6D	14132933	14134027	-	14133480	1.0	1.0
gene:TraesCS6D03G0049900	Chr6D	10603121	10604609	-	10603865	Chr6D	14126752	14128240	+	14127496	1.0	1.0
gene:TraesCS6D03G0050000	Chr6D	10644268	10645456	+	10644862	Chr6D	14086060	14087248	-	14086654	1.0	1.0
gene:TraesCS6D03G0050100	Chr6D	10845173	10846060	+	10845616	Chr6D	13886632	13887519	-	13887075	1.0	1.0
gene:TraesCS6D03G0050400	Chr6D	10900244	10904735	-	10902489	Chr6D	13827956	13832447	+	13830201	1.0	1.0
gene:TraesCS6D03G0050500	Chr6D	10908542	10912388	-	10910465	Chr6D	13820303	13824149	+	13822226	1.0	1.0
gene:TraesCS6D03G0050600	Chr6D	10921560	10931409	+	10926484	Chr6D	13801273	13811131	-	13806202	1.0	1.0
gene:TraesCS6D03G0050900	Chr6D	10957598	10959361	-	10958479	Chr6D	13773253	13775016	+	13774134	1.0	0.999
gene:TraesCS6D03G0051000	Chr6D	10964314	10965921	+	10965117	Chr6D	13766693	13768300	-	13767496	1.0	1.0
gene:TraesCS6D03G0051200	Chr6D	10966837	10967504	+	10967170	Chr6D	13765110	13765777	-	13765443	1.0	1.0
gene:TraesCS6D03G0051400	Chr6D	11011769	11012250	+	11012009	Chr6D	13720213	13720694	-	13720453	1.0	1.0
gene:TraesCS6D03G0051600	Chr6D	11024031	11025303	+	11024667	Chr6D	13707608	13708880	-	13708244	1.0	1.0
gene:TraesCS6D03G0051700	Chr6D	11094238	11097530	-	11095884	Chr6D	13636190	13639482	+	13637836	1.0	1.0
gene:TraesCS6D03G0051900	Chr6D	11117344	11120684	-	11119014	Chr6D	13613256	13616596	+	13614926	1.0	1.0
gene:TraesCS6D03G0052000	Chr6D	11152437	11155606	-	11154021	Chr6D	13578868	13582037	+	13580452	1.0	1.0
gene:TraesCS6D03G0052200	Chr6D	11170175	11173713	-	11171944	Chr6D	13561003	13564541	+	13562772	1.0	1.0
gene:TraesCS6D03G0052300	Chr6D	11358130	11362588	-	11360359	Chr6D	13374548	13379006	+	13376777	1.0	0.999
gene:TraesCS6D03G0052400	Chr6D	11364768	11369322	-	11367045	Chr6D	13367814	13372368	+	13370091	1.0	1.0
gene:TraesCS6D03G0052500	Chr6D	11373929	11376202	-	11375065	Chr6D	13360934	13363207	+	13362070	1.0	1.0
gene:TraesCS6D03G0052900	Chr6D	11383329	11383853	-	11383591	Chr6D	13353572	13354096	+	13353834	1.0	1.0
gene:TraesCS6D03G0053000	Chr6D	11386418	11388918	-	11387668	Chr6D	13348507	13351007	+	13349757	1.0	1.0
