cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr7B	1481189	6574159	Chr7B	3187941	7978048	51	0.9900392156862748
Chr7B	10545224	183070778	Chr7B	9897852	182145630	1232	0.9973173701298704
Chr7B	186156096	293144785	Chr7B	184932784	290774601	411	0.9983941605839416
Chr7B	295582888	308002245	Chr7B	293195389	306423952	19	0.9994736842105262
Chr7B	327149605	342648507	Chr7B	325901820	341360776	31	0.9998064516129032
Chr7B	362128535	393308791	Chr7B	355752922	391027537	134	0.9989402985074628
Chr7B	396179589	410599513	Chr7B	393880275	407787765	52	0.9998076923076924
Chr7B	413179671	423778078	Chr7B	410353560	420901639	45	0.999688888888889
Chr7B	425791676	545780843	Chr7B	422913608	542390532	768	0.9975807291666668
Chr7B	547795684	567561512	Chr7B	544385032	564002048	110	0.9988272727272728
Chr7B	569603774	736852559	Chr7B	566023778	729373130	1276	0.9951849529780564
Chr7B	738916584	741546298	Chr7B	731002544	732331589	17	0.9570588235294116
Chr7B	744271480	756980467	Chr7B	732995531	749617690	82	0.984451219512195
