gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity
gene:TraesCS7B03G0008100	Chr7B	1480605	1481773	+	1481189	Chr7B	7977464	7978632	-	7978048	1.0	0.999
gene:TraesCS7B03G0008600	Chr7B	1693992	1694231	+	1694111	Chr7B	7763906	7764145	-	7764025	1.0	1.0
gene:TraesCS7B03G0010400	Chr7B	2097129	2100452	+	2098790	Chr7B	7402930	7406228	-	7404579	1.0	0.993
gene:TraesCS7B03G0010700	Chr7B	2668551	2670096	+	2669323	Chr7B	6848445	6849967	-	6849206	0.977	0.923
gene:TraesCS7B03G0011300	Chr7B	2894770	2896423	-	2895596	Chr7B	6589011	6590664	+	6589837	1.0	0.983
gene:TraesCS7B03G0011700	Chr7B	3081146	3082585	+	3081865	Chr7B	6403646	6405085	-	6404365	1.0	1.0
gene:TraesCS7B03G0011800	Chr7B	3116205	3118160	+	3117182	Chr7B	6368026	6369981	-	6369003	1.0	1.0
gene:TraesCS7B03G0011900	Chr7B	3118757	3122830	-	3120793	Chr7B	6363287	6367429	+	6365358	1.0	0.905
gene:TraesCS7B03G0012000	Chr7B	3221369	3227272	-	3224320	Chr7B	6257052	6262955	+	6260003	1.0	1.0
gene:TraesCS7B03G0012200	Chr7B	3242585	3251280	-	3246932	Chr7B	6232988	6241683	+	6237335	1.0	0.999
gene:TraesCS7B03G0012600	Chr7B	3264575	3273390	+	3268982	Chr7B	6210855	6219692	-	6215273	1.0	0.954
gene:TraesCS7B03G0012700	Chr7B	3275744	3280289	-	3278016	Chr7B	6203956	6208501	+	6206228	1.0	1.0
gene:TraesCS7B03G0013100	Chr7B	3425640	3425927	-	3425783	Chr7B	6058471	6058758	+	6058614	1.0	1.0
gene:TraesCS7B03G0013300	Chr7B	3473390	3482107	-	3477748	Chr7B	6002473	6011190	+	6006831	1.0	1.0
gene:TraesCS7B03G0013400	Chr7B	3502025	3506191	+	3504108	Chr7B	5978764	5982930	-	5980847	1.0	1.0
gene:TraesCS7B03G0013500	Chr7B	3510580	3514839	-	3512709	Chr7B	5970116	5974375	+	5972245	1.0	1.0
gene:TraesCS7B03G0013600	Chr7B	3660476	3664218	+	3662347	Chr7B	5821450	5825203	-	5823326	1.0	0.991
gene:TraesCS7B03G0013900	Chr7B	3671994	3673638	-	3672816	Chr7B	5812063	5813707	+	5812885	1.0	1.0
gene:TraesCS7B03G0014000	Chr7B	3694071	3695816	+	3694943	Chr7B	5789989	5791734	-	5790861	1.0	0.999
gene:TraesCS7B03G0014800	Chr7B	3869795	3871434	+	3870614	Chr7B	5615139	5616778	-	5615958	1.0	0.999
gene:TraesCS7B03G0014900	Chr7B	4012469	4017710	+	4015089	Chr7B	5469509	5474750	-	5472129	1.0	1.0
gene:TraesCS7B03G0015100	Chr7B	4023337	4024742	-	4024039	Chr7B	5462468	5463861	+	5463164	0.99	0.988
gene:TraesCS7B03G0015200	Chr7B	4028025	4030069	-	4029047	Chr7B	5456870	5459080	+	5457975	1.0	0.996
gene:TraesCS7B03G0016300	Chr7B	4116994	4122172	+	4119583	Chr7B	5364837	5370015	-	5367426	1.0	0.998
gene:TraesCS7B03G0016400	Chr7B	4122371	4124879	-	4123625	Chr7B	5362105	5364638	+	5363371	1.0	0.996
gene:TraesCS7B03G0016600	Chr7B	4173687	4176282	+	4174984	Chr7B	5308112	5310707	-	5309409	1.0	1.0
gene:TraesCS7B03G0017000	Chr7B	4217034	4218371	+	4217702	Chr7B	5272843	5274180	-	5273511	1.0	1.0
gene:TraesCS7B03G0017200	Chr7B	4228698	4230727	-	4229712	Chr7B	5260413	5262442	+	5261427	1.0	1.0
gene:TraesCS7B03G0017600	Chr7B	4338296	4345659	+	4341977	Chr7B	5145276	5152699	-	5148987	1.0	1.0
gene:TraesCS7B03G0017800	Chr7B	4425740	4431517	+	4428628	Chr7B	5059267	5065044	-	5062155	1.0	1.0
gene:TraesCS7B03G0017900	Chr7B	4469383	4469586	-	4469484	Chr7B	5021414	5021617	+	5021515	1.0	1.0
gene:TraesCS7B03G0018000	Chr7B	4477157	4481340	+	4479248	Chr7B	5009574	5013757	-	5011665	1.0	1.0
gene:TraesCS7B03G0018100	Chr7B	4533463	4533718	-	4533590	Chr7B	4957286	4957541	+	4957413	1.0	1.0
gene:TraesCS7B03G0018200	Chr7B	4646090	4652768	+	4649429	Chr7B	4837388	4844066	-	4840727	1.0	1.0
gene:TraesCS7B03G0018700	Chr7B	4939060	4939788	-	4939424	Chr7B	4553468	4554196	+	4553832	1.0	1.0
gene:TraesCS7B03G0018800	Chr7B	4949497	4950210	+	4949853	Chr7B	4543047	4543760	-	4543403	1.0	1.0
gene:TraesCS7B03G0019200	Chr7B	5228037	5231817	-	5229927	Chr7B	4260430	4264210	+	4262320	1.0	1.0
gene:TraesCS7B03G0019300	Chr7B	5234592	5237551	-	5236071	Chr7B	4254696	4257655	+	4256175	1.0	1.0
gene:TraesCS7B03G0019400	Chr7B	5241320	5245276	-	5243298	Chr7B	4247028	4250949	+	4248988	1.0	0.998
gene:TraesCS7B03G0019500	Chr7B	5387627	5391814	-	5389720	Chr7B	4093498	4097685	+	4095591	1.0	0.999
gene:TraesCS7B03G0019600	Chr7B	5391944	5395839	+	5393891	Chr7B	4089586	4093368	-	4091477	0.964	0.964
gene:TraesCS7B03G0022000	Chr7B	5843318	5850518	-	5846918	Chr7B	3946353	3953553	+	3949953	1.0	0.998
gene:TraesCS7B03G0022100	Chr7B	6242281	6249615	+	6245948	Chr7B	3543152	3549545	-	3546348	1.0	0.991
gene:TraesCS7B03G0022300	Chr7B	6253855	6255709	-	6254782	Chr7B	3537057	3538914	+	3537985	1.0	0.993
gene:TraesCS7B03G0022700	Chr7B	6307057	6325059	-	6316058	Chr7B	3451901	3469941	+	3460921	0.998	0.994
gene:TraesCS7B03G0022800	Chr7B	6328320	6328690	-	6328505	Chr7B	3448268	3448638	+	3448453	1.0	0.995
gene:TraesCS7B03G0022900	Chr7B	6357986	6359698	-	6358842	Chr7B	3417238	3418913	+	3418075	0.974	0.966
gene:TraesCS7B03G0023000	Chr7B	6390975	6402894	-	6396934	Chr7B	3360979	3386499	+	3373739	1.0	0.991
gene:TraesCS7B03G0023400	Chr7B	6489035	6493164	+	6491099	Chr7B	3259422	3263650	-	3261536	0.986	0.926
gene:TraesCS7B03G0023500	Chr7B	6515908	6519369	+	6517638	Chr7B	3246063	3249567	-	3247815	1.0	0.958
gene:TraesCS7B03G0023700	Chr7B	6572310	6576009	+	6574159	Chr7B	3186092	3189791	-	3187941	1.0	0.996
gene:TraesCS7B03G0032300	Chr7B	10544063	10546385	+	10545224	Chr7B	9896841	9898864	+	9897852	1.0	1.0
gene:TraesCS7B03G0032400	Chr7B	10547429	10553423	-	10550426	Chr7B	9899908	9905939	-	9902923	1.0	0.977
gene:TraesCS7B03G0032600	Chr7B	10604706	10607023	+	10605864	Chr7B	9957221	9959538	+	9958379	1.0	1.0
gene:TraesCS7B03G0032800	Chr7B	10893834	10895764	+	10894799	Chr7B	10246660	10248590	+	10247625	1.0	1.0
gene:TraesCS7B03G0033000	Chr7B	10948512	10952925	-	10950718	Chr7B	10301158	10305571	-	10303364	1.0	1.0
gene:TraesCS7B03G0033100	Chr7B	10966194	10966511	-	10966352	Chr7B	10318928	10319245	-	10319086	1.0	1.0
gene:TraesCS7B03G0033300	Chr7B	10999621	11001946	+	11000783	Chr7B	10351857	10354182	+	10353019	1.0	1.0
gene:TraesCS7B03G0033400	Chr7B	11031814	11032149	-	11031981	Chr7B	10384152	10384487	-	10384319	1.0	1.0
gene:TraesCS7B03G0033700	Chr7B	11347584	11349680	+	11348632	Chr7B	10699224	10701320	+	10700272	1.0	1.0
gene:TraesCS7B03G0033800	Chr7B	11370075	11372420	+	11371247	Chr7B	10721866	10724211	+	10723038	1.0	1.0
gene:TraesCS7B03G0033900	Chr7B	11427489	11429579	+	11428534	Chr7B	10779235	10781325	+	10780280	1.0	1.0
gene:TraesCS7B03G0034400	Chr7B	11754859	11755950	+	11755404	Chr7B	11091751	11092842	+	11092296	1.0	1.0
gene:TraesCS7B03G0035500	Chr7B	12402324	12403972	+	12403148	Chr7B	11658288	11659936	+	11659112	1.0	1.0
gene:TraesCS7B03G0035800	Chr7B	12616448	12616997	+	12616722	Chr7B	11864198	11864747	+	11864472	1.0	1.0
gene:TraesCS7B03G0036400	Chr7B	12825511	12828600	-	12827055	Chr7B	12096443	12099532	-	12097987	1.0	1.0
gene:TraesCS7B03G0036500	Chr7B	12828715	12831509	+	12830112	Chr7B	12099647	12102441	+	12101044	1.0	1.0
gene:TraesCS7B03G0036900	Chr7B	13045181	13046564	+	13045872	Chr7B	12315254	12316637	+	12315945	1.0	1.0
gene:TraesCS7B03G0037100	Chr7B	13058869	13060926	-	13059897	Chr7B	12328938	12330995	-	12329966	1.0	1.0
gene:TraesCS7B03G0037200	Chr7B	13070163	13074003	-	13072083	Chr7B	12340231	12344071	-	12342151	1.0	1.0
gene:TraesCS7B03G0037800	Chr7B	13228297	13231672	-	13229984	Chr7B	12497645	12501020	-	12499332	1.0	1.0
gene:TraesCS7B03G0037900	Chr7B	13245333	13248899	-	13247116	Chr7B	12514274	12517840	-	12516057	1.0	1.0
gene:TraesCS7B03G0038500	Chr7B	13396579	13404775	-	13400677	Chr7B	12663095	12671291	-	12667193	1.0	0.999
gene:TraesCS7B03G0038800	Chr7B	13581064	13582494	-	13581779	Chr7B	12847612	12849042	-	12848327	1.0	1.0
gene:TraesCS7B03G0039400	Chr7B	13814676	13815557	+	13815116	Chr7B	13080688	13081569	+	13081128	1.0	1.0
gene:TraesCS7B03G0039500	Chr7B	13827963	13829345	+	13828654	Chr7B	13094061	13095443	+	13094752	1.0	1.0
gene:TraesCS7B03G0039600	Chr7B	13913211	13913659	-	13913435	Chr7B	13179577	13180025	-	13179801	1.0	1.0
