gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS5A03G0000300	Chr5A	28171	30032	-	29101	Chr5A	888994	890855	+	889924	1.0	0.997	collinear
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	281720	287669	-	284694	1.0	0.999	collinear
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	280017	281528	-	280772	0.997	0.997	collinear
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	271678	272622	-	272150	1.0	1.0	collinear
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	1488270	1490054	+	1489162	1.0	1.0	collinear
gene:TraesCS5A03G0001500	Chr5A	1684670	1685023	+	1684846	Chr5A	1630273	1630626	+	1630449	1.0	1.0	collinear
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	1649533	1652745	-	1651139	1.0	1.0	collinear
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	1900651	1901016	-	1900833	1.0	1.0	collinear
gene:TraesCS5A03G0002000	Chr5A	2041391	2042111	-	2041751	Chr5A	1986377	1987097	-	1986737	1.0	1.0	collinear
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	1987881	1988363	+	1988122	1.0	1.0	collinear
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	2004257	2012705	+	2008481	1.0	1.0	collinear
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	2013690	2016624	+	2015157	1.0	1.0	collinear
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	2027354	2027700	+	2027527	1.0	1.0	collinear
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	2147342	2147521	+	2147431	1.0	1.0	collinear
