cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr4B	148459296	150797625	Chr4B	154253993	156591155	18	0.9998333333333334
Chr4B	157172475	159579938	Chr4B	145543186	147942462	6	0.9996666666666667
Chr4B	632430	86155240	Chr4B	378084	83348741	816	0.9968811274509803
Chr4B	88370406	147877650	Chr4B	85557677	144806908	361	0.9992714681440442
Chr4B	152013655	155154630	Chr4B	149948140	153042859	11	0.999909090909091
Chr4B	161318293	164642854	Chr4B	158171502	161486938	6	1.0
Chr4B	167236891	207224234	Chr4B	163921852	203814611	181	0.9988232044198894
Chr4B	212453315	226695727	Chr4B	208987710	223131586	38	0.9960263157894738
Chr4B	229815313	233299063	Chr4B	226244785	229676717	4	0.9995
Chr4B	236068374	255905796	Chr4B	234542385	255701556	21	0.9998571428571429
Chr4B	258340474	259633738	Chr4B	258140554	259426409	4	1.0
Chr4B	264840064	273673527	Chr4B	264607013	273151443	14	0.9995714285714286
Chr4B	275687277	282555008	Chr4B	275184338	282108940	10	0.9998000000000001
Chr4B	285233326	286424153	Chr4B	284781028	285968680	5	0.9994
Chr4B	291502685	291547670	Chr4B	290981737	291025906	4	1.0
Chr4B	294688008	296591676	Chr4B	294124981	296006234	4	1.0
Chr4B	299196258	302476126	Chr4B	298615612	301891676	5	1.0
Chr4B	305087497	316560905	Chr4B	303923045	315349781	32	0.99953125
Chr4B	322209821	324516341	Chr4B	321405475	323713248	6	0.9978333333333333
Chr4B	326650034	330229225	Chr4B	325833729	329408774	8	0.99975
Chr4B	332805993	335355652	Chr4B	331962345	334499651	5	0.9985999999999999
Chr4B	337825898	351612341	Chr4B	336953350	350562941	21	0.9935238095238096
Chr4B	357330117	428374125	Chr4B	356281649	426941050	337	0.9992759643916913
Chr4B	430804721	673727606	Chr4B	429328732	669732399	1799	0.9966436909394107
