cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr5A	29101	62409843	Chr5A	272150	62691039	557	0.998430879712747
Chr5A	65256920	152899436	Chr5A	65512008	152989560	405	0.9993111111111111
Chr5A	156754150	160718182	Chr5A	156776346	160761798	12	1.0
Chr5A	163084098	182449906	Chr5A	163131038	182227091	37	0.9999459459459461
Chr5A	184871905	187078746	Chr5A	184650287	186849171	4	1.0
Chr5A	192446609	200581324	Chr5A	192183169	200288600	16	0.9999375
Chr5A	204816399	224020772	Chr5A	204508516	223637554	33	0.9995151515151516
Chr5A	226098410	251028605	Chr5A	225710049	252189729	63	0.9996190476190476
Chr5A	254547841	712683872	Chr5A	255701945	712042205	4215	0.9983392645314354
Chr5A	712934004	713328361	Chr5A	708545618	708943452	6	0.9983333333333334
