cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr6D	797908	959346	Chr6D	213811	380590	3	1.0
Chr6D	7433051	27630303	Chr6D	6914276	25936889	355	0.9986478873239436
Chr6D	32741204	35336532	Chr6D	30454536	32968438	48	0.9931666666666666
Chr6D	41638892	46120294	Chr6D	35872457	40327422	64	0.99925
Chr6D	49876700	56759409	Chr6D	40477467	47220062	59	0.998728813559322
Chr6D	64544097	186375773	Chr6D	49547764	171150121	948	0.9991234177215188
Chr6D	188380630	191219382	Chr6D	173144507	175978670	13	0.9986923076923078
Chr6D	193704080	200393382	Chr6D	178443448	185118627	12	1.0
Chr6D	203260384	235958205	Chr6D	187962163	220638964	44	0.9997272727272728
Chr6D	238222872	248745870	Chr6D	222886000	233376175	15	0.9986
Chr6D	253451229	261093398	Chr6D	238068740	245686757	12	0.9976666666666666
Chr6D	263489417	302615547	Chr6D	248086509	287057118	145	0.9988551724137932
Chr6D	304859324	436495956	Chr6D	289295777	420240339	1032	0.9993536821705428
Chr6D	439160889	495303957	Chr6D	422897912	478191881	952	0.996408613445378
