gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	2135587	2137435	-	2136511	0.996	0.98	collinear
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	2131238	2135225	+	2133231	0.99	0.944	collinear
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	2127307	2130788	+	2129047	0.991	0.983	collinear
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	2114949	2121794	-	2118371	0.99	0.966	collinear
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	2107041	2108834	-	2107937	0.998	0.988	collinear
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	2097245	2101658	-	2099451	0.987	0.937	collinear
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	2093797	2096820	+	2095308	0.998	0.991	collinear
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	2067222	2073208	+	2070215	0.991	0.973	collinear
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	2030060	2041796	+	2035928	0.972	0.95	collinear
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	1814457	1826917	+	1820687	1.0	0.994	collinear
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	1802072	1804083	+	1803077	1.0	0.993	collinear
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	1785464	1789452	+	1787458	1.0	0.986	collinear
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	1762964	1769738	-	1766351	1.0	0.988	collinear
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	1753986	1758475	+	1756230	0.999	0.974	collinear
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	1711892	1713413	-	1712652	0.938	0.935	collinear
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	1703220	1704338	+	1703779	1.0	0.997	collinear
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	1519939	1522182	+	1521060	0.993	0.978	collinear
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	1448985	1450145	-	1449565	1.0	0.993	collinear
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1226139	1229733	+	1227936	0.996	0.986	collinear
