cs_chr	Norin61_tgt_chr	n_anchors	Norin61_mean_anchor_gap_Mb	Norin61_interp_type	n_segments	Norin61_mean_anchor_fraction
Chr1A	Chr1A	4042	0.148	linear	1	0.954
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B	4359	0.262	linear+linear+pchip_inverted+linear	4	0.947
Chr1D	Chr1D	4341	0.115	linear	1	0.97
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5625	0.079	linear+linear+linear+linear+linear+linear+linear	7	0.977
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5778	0.617	linear+linear+linear+linear+pchip_inverted	5	0.954
Chr2D	Chr2D+Chr2D+Chr2D+Chr2D+Chr2D+Chr2D	5739	0.065	linear+linear+linear+pchip_inverted+linear+pchip_inverted	6	0.98
Chr3A	Chr3A+Chr3A+Chr3A	5080	0.091	linear+linear+linear	3	0.98
Chr3B	Chr3B+Chr3B+Chr3B	5056	0.168	linear+linear+linear	3	0.815
Chr3D	Chr3D+Chr3D	5210	0.081	linear+linear	2	0.984
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4398	0.454	linear+linear+linear+linear+pchip_inverted	5	0.919
Chr4B	Chr4B+Chr4B+Chr4B	3722	0.267	linear+linear+linear	3	0.976
Chr4D	Chr4D	3457	0.147	linear	1	0.966
Chr5A	Chr5A+Chr5A	5349	0.106	linear+linear	2	0.985
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B	5263	0.126	linear+linear+linear+pchip_inverted	4	0.947
Chr5D	Chr5D+Chr5D+Chr5D+Chr5D+Chr5D	5495	0.083	linear+linear+pchip_inverted+pchip+pchip_inverted	5	0.987
Chr6A	Chr6A	3931	0.158	linear	1	0.969
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	4172	0.209	linear+linear+linear+pchip_inverted+pchip_inverted+pchip_inverted	6	0.908
Chr6D	Chr6D+Chr6D	3845	0.093	linear+linear	2	0.969
Chr7A	Chr7A+Chr7A	5205	0.099	linear+linear	2	0.965
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4369	0.322	linear+pchip_inverted+linear+linear+linear+linear+linear+linear	8	0.924
Chr7D	Chr7D+Chr7D	5284	0.08	linear+pchip_inverted	2	0.981
