gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	596600	599571	+	598085	1.0	1.0
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	594712	596588	+	595650	1.0	1.0
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	411663	418316	+	414989	1.0	1.0
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	365117	366686	+	365901	1.0	1.0
gene:TraesCS6A03G0001100	Chr6A	1025042	1029912	+	1027477	Chr6A	745636	750506	+	748071	1.0	0.996
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	805781	810214	+	807997	1.0	1.0
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	986742	988760	-	987751	1.0	1.0
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	1015209	1016685	-	1015947	1.0	1.0
gene:TraesCS6A03G0001600	Chr6A	1304914	1305519	-	1305216	Chr6A	1021171	1021776	-	1021473	1.0	1.0
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	1048987	1051008	+	1049997	1.0	0.997
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	1110172	1111109	+	1110640	1.0	0.998
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	1118485	1122845	-	1120665	1.0	1.0
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	1131201	1135898	+	1133549	1.0	1.0
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	1144912	1145958	-	1145435	1.0	1.0
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	1151950	1152337	+	1152143	1.0	1.0
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	1159835	1160332	-	1160083	1.0	1.0
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	1162341	1163315	+	1162828	1.0	1.0
gene:TraesCS6A03G0002800	Chr6A	1493591	1500030	+	1496810	Chr6A	1211085	1217525	+	1214305	1.0	1.0
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	1252879	1259792	+	1256335	1.0	0.999
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	1261964	1266392	-	1264178	1.0	1.0
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	1276004	1282290	+	1279147	1.0	1.0
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	1289290	1290874	-	1290082	1.0	1.0
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	1302454	1305153	+	1303803	1.0	1.0
gene:TraesCS6A03G0003700	Chr6A	1590243	1592797	-	1591520	Chr6A	1307893	1310447	-	1309170	1.0	1.0
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	1430470	1437286	+	1433878	0.994	0.984
gene:TraesCS6A03G0004400	Chr6A	1717372	1719718	-	1718545	Chr6A	1435681	1437981	-	1436831	0.962	0.935
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	1438767	1440311	-	1439539	1.0	0.991
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	1440796	1445747	-	1443271	0.996	0.964
gene:TraesCS6A03G0004900	Chr6A	1735764	1739970	+	1737867	Chr6A	1472664	1476879	+	1474771	1.0	0.993
gene:TraesCS6A03G0005000	Chr6A	1741213	1746701	-	1743957	Chr6A	1477921	1483610	-	1480765	0.998	0.983
gene:TraesCS6A03G0006500	Chr6A	2049229	2059125	-	2054177	Chr6A	1626861	1636818	-	1631839	1.0	0.996
gene:TraesCS6A03G0006800	Chr6A	2178104	2178808	+	2178456	Chr6A	1825900	1826662	+	1826281	1.0	0.991
gene:TraesCS6A03G0007500	Chr6A	2212597	2221548	-	2217072	Chr6A	1890645	1899596	-	1895120	1.0	0.994
gene:TraesCS6A03G0007600	Chr6A	2224806	2228302	+	2226554	Chr6A	1906840	1910337	+	1908588	0.999	0.996
gene:TraesCS6A03G0007800	Chr6A	2268384	2269573	+	2268978	Chr6A	1950536	1951725	+	1951130	1.0	1.0
gene:TraesCS6A03G0007900	Chr6A	2282496	2284138	-	2283317	Chr6A	1964712	1966354	-	1965533	1.0	1.0
gene:TraesCS6A03G0008000	Chr6A	2306532	2309729	-	2308130	Chr6A	1988747	1991944	-	1990345	1.0	1.0
gene:TraesCS6A03G0008200	Chr6A	2360136	2366375	+	2363255	Chr6A	2038763	2044998	+	2041880	1.0	1.0
gene:TraesCS6A03G0008600	Chr6A	2382984	2385706	+	2384345	Chr6A	2061418	2064140	+	2062779	1.0	1.0
gene:TraesCS6A03G0008700	Chr6A	2422514	2423194	-	2422854	Chr6A	2101129	2101809	-	2101469	1.0	1.0
