gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity
gene:TraesCS2A03G0003900	Chr2A	884928	885681	+	885304	Chr2A	1702644	1703397	-	1703020	1.0	0.99
gene:TraesCS2A03G0004500	Chr2A	1228280	1229883	-	1229081	Chr2A	1442470	1444073	+	1443271	1.0	1.0
gene:TraesCS2A03G0005600	Chr2A	1423029	1424057	-	1423543	Chr2A	1248129	1249157	+	1248643	1.0	1.0
gene:TraesCS2A03G0005800	Chr2A	1428836	1440401	-	1434618	Chr2A	1231702	1243352	+	1237527	1.0	0.958
gene:TraesCS2A03G0006300	Chr2A	1665722	1666219	+	1665970	Chr2A	1006672	1007169	-	1006920	1.0	1.0
gene:TraesCS2A03G0006500	Chr2A	1751281	1752992	+	1752136	Chr2A	926711	928422	-	927566	1.0	0.999
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	836765	838742	-	837753	1.0	1.0
gene:TraesCS2A03G0006700	Chr2A	1848046	1849956	-	1849001	Chr2A	830050	831960	+	831005	1.0	1.0
gene:TraesCS2A03G0006900	Chr2A	1921768	1927033	-	1924400	Chr2A	753474	758765	+	756119	1.0	1.0
gene:TraesCS2A03G0007100	Chr2A	1935100	1941200	+	1938150	Chr2A	737755	743871	-	740813	1.0	1.0
gene:TraesCS2A03G0008000	Chr2A	2289325	2293622	+	2291473	Chr2A	390572	394869	-	392720	1.0	1.0
gene:TraesCS2A03G0008200	Chr2A	2335769	2337055	-	2336412	Chr2A	347994	349280	+	348637	1.0	1.0
gene:TraesCS2A03G0008500	Chr2A	2383732	2387967	+	2385849	Chr2A	298909	303144	-	301026	1.0	0.999
gene:TraesCS2A03G0008600	Chr2A	2393912	2399518	+	2396715	Chr2A	287358	292964	-	290161	1.0	1.0
gene:TraesCS2A03G0008800	Chr2A	2414503	2415411	-	2414957	Chr2A	271465	272373	+	271919	1.0	1.0
gene:TraesCS2A03G0009300	Chr2A	2428724	2429761	+	2429242	Chr2A	257022	258059	-	257540	1.0	1.0
gene:TraesCS2A03G0008900	Chr2A	2418285	2444786	+	2431535	Chr2A	241997	268595	-	255296	1.0	1.0
gene:TraesCS2A03G0009400	Chr2A	2435620	2439903	-	2437761	Chr2A	246880	251163	+	249021	1.0	1.0
gene:TraesCS2A03G0009500	Chr2A	2440261	2441887	+	2441074	Chr2A	244896	246522	-	245709	1.0	1.0
gene:TraesCS2A03G0009600	Chr2A	2465197	2465597	+	2465397	Chr2A	221077	221477	-	221277	1.0	1.0
gene:TraesCS2A03G0009700	Chr2A	2468253	2470255	+	2469254	Chr2A	216419	218421	-	217420	1.0	1.0
gene:TraesCS2A03G0009900	Chr2A	2525506	2529129	-	2527317	Chr2A	157464	161074	+	159269	0.992	0.992
gene:TraesCS2A03G0010000	Chr2A	2539204	2544234	-	2541719	Chr2A	142736	147766	+	145251	1.0	1.0
gene:TraesCS2A03G0010100	Chr2A	2544361	2549571	+	2546966	Chr2A	137399	142609	-	140004	1.0	1.0
gene:TraesCS2A03G0010200	Chr2A	2551227	2557615	-	2554421	Chr2A	129336	135751	+	132543	1.0	0.998
gene:TraesCS2A03G0010800	Chr2A	2813845	2818200	-	2816022	Chr2A	3050447	3054802	+	3052624	1.0	1.0
gene:TraesCS2A03G0011300	Chr2A	2881790	2887966	-	2884878	Chr2A	2983973	2990149	+	2987061	1.0	1.0
gene:TraesCS2A03G0011500	Chr2A	2906111	2907412	-	2906761	Chr2A	2964513	2965814	+	2965163	1.0	1.0
gene:TraesCS2A03G0011600	Chr2A	2908978	2910144	+	2909561	Chr2A	2961781	2962947	-	2962364	1.0	0.988
gene:TraesCS2A03G0011800	Chr2A	2917337	2922033	-	2919685	Chr2A	2949861	2954557	+	2952209	1.0	0.997
gene:TraesCS2A03G0011900	Chr2A	2924927	2926630	-	2925778	Chr2A	2943869	2945572	+	2944720	1.0	0.998
gene:TraesCS2A03G0012000	Chr2A	2940100	2941874	-	2940987	Chr2A	2935840	2937614	+	2936727	1.0	0.999
gene:TraesCS2A03G0012100	Chr2A	2947690	2962866	-	2955278	Chr2A	2914740	2930042	+	2922391	1.0	0.993
gene:TraesCS2A03G0012200	Chr2A	2981431	2983872	+	2982651	Chr2A	2893691	2896132	-	2894911	1.0	0.999
