cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	66137	141131450	1418	0.9992031029619182
Chr4D	143939177	159173700	Chr4D	143788791	159002317	18	0.9933333333333332
Chr4D	163710731	183649096	Chr4D	163509092	183279370	27	0.9996666666666668
Chr4D	188969484	192971731	Chr4D	189448014	193434407	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	195709410	199238427	7	0.9997142857142858
Chr4D	201663396	203856600	Chr4D	202499515	204827299	5	1.0
Chr4D	206329885	212424003	Chr4D	207034512	213047109	20	0.9998
Chr4D	214566503	228344802	Chr4D	215188623	228913112	23	0.9987391304347826
Chr4D	230503918	238850566	Chr4D	231110949	239398037	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	241687860	249649318	18	0.9995
Chr4D	251744642	256746015	Chr4D	252218594	257220014	7	0.9882857142857144
Chr4D	259082246	261473317	Chr4D	259540160	261924199	6	1.0
Chr4D	264155329	268258812	Chr4D	264605866	268688611	7	0.9982857142857142
Chr4D	270831155	284417863	Chr4D	271250702	284787422	19	0.9972105263157894
Chr4D	286726699	329466878	Chr4D	287071519	329555850	221	0.9994524886877828
Chr4D	331779306	375686787	Chr4D	331860553	375546724	297	0.9990370370370372
Chr4D	377775997	410310201	Chr4D	377578197	410131187	235	0.9993957446808512
Chr4D	412602740	507922386	Chr4D	412477846	506934641	1110	0.9991369369369372
