cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr2B	359836	34524131	Chr2B	10620	34334909	522	0.99117816091954
Chr2B	36635567	135034479	Chr2B	34520379	131559517	838	0.9965572792362768
Chr2B	137271666	248272484	Chr2B	133696403	243797428	778	0.9973136246786634
Chr2B	250482935	283157104	Chr2B	246011055	278540758	143	0.9973006993006992
Chr2B	285496966	303738486	Chr2B	280879760	298885105	24	0.999375
Chr2B	318431746	331681179	Chr2B	313546614	326467321	17	0.998470588235294
Chr2B	333809245	346552298	Chr2B	328598988	341211200	21	0.999952380952381
Chr2B	348999066	355740303	Chr2B	343656608	350371357	9	1.0
Chr2B	360072831	363706950	Chr2B	353836826	361110147	5	1.0
Chr2B	365734406	809358070	Chr2B	363053779	802878695	3347	0.996980878398566
