cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	365901	165282460	1480	0.9945202702702703
Chr6A	169123596	174690876	Chr6A	168833752	174420723	25	0.99972
Chr6A	177010402	237636332	Chr6A	176738712	236737181	202	0.9990049504950496
Chr6A	243810148	244731119	Chr6A	242906951	243824072	3	1.0
Chr6A	251103689	255370132	Chr6A	250266468	254519980	8	1.0
Chr6A	257566273	264313435	Chr6A	256617780	263367390	22	0.9998181818181819
Chr6A	266482395	275860435	Chr6A	265540689	275074718	22	0.9998636363636364
Chr6A	278883582	290338890	Chr6A	278062049	289660151	15	0.9997333333333334
Chr6A	293863739	319731587	Chr6A	293969502	319770657	28	0.9988214285714285
Chr6A	323819925	326827584	Chr6A	323848292	326823879	8	0.9995
Chr6A	328915123	332571498	Chr6A	328911261	332546186	6	1.0
Chr6A	334687288	346665213	Chr6A	334660833	346598820	16	0.999375
Chr6A	349035941	349057392	Chr6A	348977381	348998832	3	1.0
Chr6A	354380382	355885891	Chr6A	354257715	355762234	4	0.9984999999999999
Chr6A	357954045	528717530	Chr6A	357801343	527382200	864	0.9987858796296296
Chr6A	531116343	622584375	Chr6A	529780086	619391225	1220	0.9982524590163934
