cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr3A	170711	140281429	Chr3A	84022	140386274	1447	0.998463026952315
Chr3A	142385461	192745740	Chr3A	142483035	192617089	218	0.9993440366972477
Chr3A	195861474	263087799	Chr3A	195730013	262488489	205	0.9994731707317074
Chr3A	270762150	278734659	Chr3A	270119278	278082184	12	0.9980000000000001
Chr3A	280899243	284859700	Chr3A	280242784	284151829	6	0.9991666666666666
Chr3A	286968946	294756278	Chr3A	286259884	294017195	7	0.9998571428571429
Chr3A	300173801	305236714	Chr3A	300049995	305076725	6	0.9994999999999999
Chr3A	307569651	328087198	Chr3A	307420999	328000815	26	0.9997692307692307
Chr3A	331805909	349096037	Chr3A	334154248	351443766	29	0.9993103448275862
Chr3A	351562540	354510700	Chr3A	353795697	356711195	8	0.9998750000000001
Chr3A	357146906	360275758	Chr3A	359356050	362477150	6	1.0
Chr3A	362401176	748817728	Chr3A	364568197	753547163	3064	0.9975048955613577
Chr3A	751225746	754027567	Chr3A	754446329	755986317	29	0.9822758620689656
