cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr3D	111986	116955327	Chr3D	115482	119324672	1444	0.9987119113573406
Chr3D	119094314	145655212	Chr3D	121430416	147791959	159	0.9991383647798742
Chr3D	147725835	194192900	Chr3D	149841456	196067631	260	0.9988884615384616
Chr3D	197544325	200969144	Chr3D	199421430	202843894	5	0.9998
Chr3D	203187169	203224239	Chr3D	205113988	205151923	4	1.0
Chr3D	207531742	214535149	Chr3D	209425849	216400437	11	0.9990909090909093
Chr3D	216957444	220088873	Chr3D	218816215	221910741	6	1.0
Chr3D	226016244	232933791	Chr3D	228028851	234934171	13	0.9947692307692308
Chr3D	235055553	242050030	Chr3D	237049907	244021690	10	0.9999
Chr3D	244783037	258632836	Chr3D	244508312	258254215	30	0.9994
Chr3D	260879965	492833467	Chr3D	260036718	491178217	1661	0.9991782059000602
Chr3D	495347019	619068158	Chr3D	493837920	614023501	1595	0.9986576802507838
