gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	6548198	6548494	-	6548346	1.0	1.0
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	6519123	6526457	+	6522790	1.0	1.0
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	6466231	6466530	-	6466380	1.0	1.0
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	6441482	6441873	-	6441677	1.0	1.0
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	6426006	6426695	-	6426350	1.0	1.0
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	6401964	6407984	-	6404974	1.0	1.0
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	6337407	6343638	+	6340522	1.0	1.0
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	6320701	6324685	-	6322693	1.0	1.0
gene:TraesCS2D03G0007000	Chr2D	2476849	2478615	+	2477732	Chr2D	6307698	6309464	-	6308581	1.0	1.0
gene:TraesCS2D03G0007200	Chr2D	2481500	2482253	+	2481876	Chr2D	6304060	6304813	-	6304436	1.0	1.0
gene:TraesCS2D03G0007300	Chr2D	2551630	2555070	-	2553350	Chr2D	6231106	6234546	+	6232826	1.0	1.0
gene:TraesCS2D03G0007400	Chr2D	2560214	2564364	-	2562289	Chr2D	6221812	6225962	+	6223887	1.0	1.0
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	6199849	6204589	+	6202219	1.0	1.0
gene:TraesCS2D03G0007700	Chr2D	2586427	2592087	+	2589257	Chr2D	6194063	6199723	-	6196893	1.0	1.0
gene:TraesCS2D03G0007800	Chr2D	2603284	2607140	+	2605212	Chr2D	6178936	6182792	-	6180864	1.0	1.0
gene:TraesCS2D03G0007900	Chr2D	2621863	2623404	-	2622633	Chr2D	6162601	6164142	+	6163371	1.0	1.0
gene:TraesCS2D03G0008000	Chr2D	2626556	2626956	-	2626756	Chr2D	6159001	6159401	+	6159201	1.0	1.0
gene:TraesCS2D03G0008100	Chr2D	2648905	2654771	-	2651838	Chr2D	6131190	6137056	+	6134123	1.0	1.0
gene:TraesCS2D03G0008200	Chr2D	2658256	2661803	+	2660029	Chr2D	6124158	6127705	-	6125931	1.0	1.0
gene:TraesCS2D03G0008300	Chr2D	2724182	2725042	+	2724612	Chr2D	6067202	6068062	-	6067632	1.0	1.0
gene:TraesCS2D03G0008700	Chr2D	2752006	2762262	+	2757134	Chr2D	6029897	6040153	-	6035025	1.0	1.0
gene:TraesCS2D03G0008800	Chr2D	2786355	2790275	-	2788315	Chr2D	6001693	6005613	+	6003653	1.0	0.994
gene:TraesCS2D03G0008900	Chr2D	2802388	2806733	-	2804560	Chr2D	5985251	5989596	+	5987423	1.0	1.0
gene:TraesCS2D03G0009200	Chr2D	2859610	2869289	+	2864449	Chr2D	5922286	5931964	-	5927125	1.0	1.0
gene:TraesCS2D03G0009500	Chr2D	2918144	2920257	+	2919200	Chr2D	5871269	5873382	-	5872325	1.0	1.0
gene:TraesCS2D03G0009600	Chr2D	2923559	2927123	+	2925341	Chr2D	5864403	5867967	-	5866185	1.0	1.0
gene:TraesCS2D03G0009900	Chr2D	2982196	2984259	-	2983227	Chr2D	5806960	5809023	+	5807991	1.0	0.999
gene:TraesCS2D03G0010300	Chr2D	2997998	3002398	+	3000198	Chr2D	5788718	5793118	-	5790918	1.0	0.999
gene:TraesCS2D03G0010400	Chr2D	3010267	3011838	-	3011052	Chr2D	5779284	5780855	+	5780069	1.0	1.0
gene:TraesCS2D03G0010500	Chr2D	3016111	3017798	+	3016954	Chr2D	5773324	5775011	-	5774167	1.0	1.0
gene:TraesCS2D03G0010800	Chr2D	3041119	3041313	+	3041216	Chr2D	5751647	5751841	-	5751744	1.0	1.0
gene:TraesCS2D03G0011000	Chr2D	3054024	3055544	-	3054784	Chr2D	5735285	5736805	+	5736045	1.0	1.0
gene:TraesCS2D03G0011100	Chr2D	3074555	3074998	-	3074776	Chr2D	5723301	5723744	+	5723522	1.0	1.0
gene:TraesCS2D03G0011300	Chr2D	3118810	3119517	+	3119163	Chr2D	5678622	5679329	-	5678975	1.0	1.0
gene:TraesCS2D03G0011400	Chr2D	3126359	3126751	+	3126555	Chr2D	5671442	5671834	-	5671638	1.0	1.0
gene:TraesCS2D03G0011500	Chr2D	3130021	3133870	-	3131945	Chr2D	5664323	5668172	+	5666247	1.0	1.0
gene:TraesCS2D03G0011600	Chr2D	3147424	3149486	-	3148455	Chr2D	5649285	5651347	+	5650316	1.0	1.0
gene:TraesCS2D03G0011700	Chr2D	3193684	3196985	+	3195334	Chr2D	5604107	5607408	-	5605757	1.0	1.0
gene:TraesCS2D03G0011800	Chr2D	3197099	3201360	-	3199229	Chr2D	5599732	5603993	+	5601862	1.0	1.0
gene:TraesCS2D03G0011900	Chr2D	3232730	3235889	+	3234309	Chr2D	5565093	5568252	-	5566672	1.0	1.0
gene:TraesCS2D03G0012200	Chr2D	3369355	3371216	-	3370285	Chr2D	5429699	5431560	+	5430629	1.0	1.0
gene:TraesCS2D03G0012800	Chr2D	3895658	3906170	+	3900914	Chr2D	4887261	4897773	-	4892517	1.0	1.0
gene:TraesCS2D03G0013000	Chr2D	3919356	3935917	-	3927636	Chr2D	4858715	4874787	+	4866751	0.957	0.957
gene:TraesCS2D03G0013300	Chr2D	4109808	4114155	-	4111981	Chr2D	4684939	4689286	+	4687112	1.0	0.999
gene:TraesCS2D03G0013800	Chr2D	4166648	4170990	-	4168819	Chr2D	4628043	4632385	+	4630214	1.0	1.0
gene:TraesCS2D03G0013900	Chr2D	4172256	4174273	+	4173264	Chr2D	4624760	4626777	-	4625768	1.0	1.0
gene:TraesCS2D03G0014000	Chr2D	4179944	4184680	+	4182312	Chr2D	4614356	4619089	-	4616722	1.0	1.0
gene:TraesCS2D03G0014100	Chr2D	4243317	4245051	-	4244184	Chr2D	4553962	4555696	+	4554829	1.0	0.999
gene:TraesCS2D03G0014200	Chr2D	4250619	4254195	-	4252407	Chr2D	4544817	4548393	+	4546605	1.0	1.0
gene:TraesCS2D03G0014300	Chr2D	4328200	4329737	+	4328968	Chr2D	4471668	4473205	-	4472436	1.0	1.0
gene:TraesCS2D03G0014700	Chr2D	4492798	4494856	+	4493827	Chr2D	4335007	4337065	-	4336036	1.0	0.999
gene:TraesCS2D03G0015000	Chr2D	4524318	4526340	+	4525329	Chr2D	4304588	4306610	-	4305599	1.0	1.0
gene:TraesCS2D03G0015200	Chr2D	4596216	4598522	-	4597369	Chr2D	4235122	4237516	+	4236319	1.0	1.0
gene:TraesCS2D03G0015300	Chr2D	4599137	4603767	-	4601452	Chr2D	4229877	4234507	+	4232192	1.0	1.0
gene:TraesCS2D03G0015600	Chr2D	4734305	4735695	-	4735000	Chr2D	4105357	4106748	+	4106052	1.0	0.998
gene:TraesCS2D03G0016000	Chr2D	4809320	4809583	-	4809451	Chr2D	4031691	4031954	+	4031822	1.0	1.0
gene:TraesCS2D03G0016200	Chr2D	4823399	4823803	-	4823601	Chr2D	4017563	4017967	+	4017765	1.0	1.0
gene:TraesCS2D03G0016100	Chr2D	4823061	4829071	-	4826066	Chr2D	4012372	4018305	+	4015338	1.0	0.999
gene:TraesCS2D03G0016500	Chr2D	4911154	4954649	+	4932901	Chr2D	3888984	3931489	-	3910236	1.0	1.0
gene:TraesCS2D03G0016700	Chr2D	5299121	5301121	+	5300121	Chr2D	3598522	3600522	-	3599522	1.0	1.0
gene:TraesCS2D03G0016800	Chr2D	5306442	5309418	-	5307930	Chr2D	3590151	3593123	+	3591637	0.998	0.998
gene:TraesCS2D03G0017000	Chr2D	5317537	5320348	-	5318942	Chr2D	3579165	3581976	+	3580570	1.0	1.0
gene:TraesCS2D03G0017100	Chr2D	5336121	5337314	+	5336717	Chr2D	3562562	3563754	-	3563158	0.999	0.998
gene:TraesCS2D03G0017200	Chr2D	5338281	5338646	-	5338463	Chr2D	3561230	3561595	+	3561412	1.0	1.0
gene:TraesCS2D03G0017700	Chr2D	5370754	5371234	-	5370994	Chr2D	3528640	3529120	+	3528880	1.0	1.0
gene:TraesCS2D03G0017800	Chr2D	5378053	5383627	+	5380840	Chr2D	3516247	3521821	-	3519034	1.0	1.0
gene:TraesCS2D03G0017900	Chr2D	5384334	5386356	-	5385345	Chr2D	3513518	3515540	+	3514529	1.0	0.998
gene:TraesCS2D03G0018000	Chr2D	5393682	5394353	+	5394017	Chr2D	3505442	3506113	-	3505777	1.0	1.0
gene:TraesCS2D03G0018200	Chr2D	5395959	5397491	-	5396725	Chr2D	3502304	3503836	+	3503070	1.0	1.0
gene:TraesCS2D03G0018300	Chr2D	5398923	5403947	-	5401435	Chr2D	3495802	3500872	+	3498337	1.0	1.0
gene:TraesCS2D03G0018400	Chr2D	5409881	5411556	-	5410718	Chr2D	3488190	3489865	+	3489027	1.0	1.0
gene:TraesCS2D03G0018600	Chr2D	5448384	5451246	+	5449815	Chr2D	3448410	3451272	-	3449841	1.0	1.0
gene:TraesCS2D03G0018700	Chr2D	5451607	5454771	-	5453189	Chr2D	3444885	3448049	+	3446467	1.0	1.0
gene:TraesCS2D03G0019000	Chr2D	5498066	5508787	-	5503426	Chr2D	3391201	3401950	+	3396575	1.0	1.0
gene:TraesCS2D03G0019100	Chr2D	5512669	5527505	-	5520087	Chr2D	3372485	3387320	+	3379902	1.0	0.999
gene:TraesCS2D03G0019200	Chr2D	5533600	5534335	+	5533967	Chr2D	3365655	3366390	-	3366022	1.0	1.0
gene:TraesCS2D03G0019300	Chr2D	5538783	5542500	+	5540641	Chr2D	3357491	3361207	-	3359349	0.999	0.999
gene:TraesCS2D03G0019400	Chr2D	5543921	5547104	-	5545512	Chr2D	3352887	3356070	+	3354478	1.0	1.0
gene:TraesCS2D03G0019500	Chr2D	5606740	5610279	+	5608509	Chr2D	3290341	3293880	-	3292110	1.0	1.0
gene:TraesCS2D03G0020100	Chr2D	5637453	5638947	+	5638200	Chr2D	3262672	3264166	-	3263419	1.0	1.0
gene:TraesCS2D03G0020200	Chr2D	5641197	5642366	-	5641781	Chr2D	3259253	3260422	+	3259837	1.0	1.0
gene:TraesCS2D03G0020300	Chr2D	5651827	5657640	+	5654733	Chr2D	3243935	3249748	-	3246841	1.0	1.0
gene:TraesCS2D03G0020500	Chr2D	5796717	5798322	-	5797519	Chr2D	3115497	3117102	+	3116299	1.0	1.0
gene:TraesCS2D03G0020600	Chr2D	5800176	5803002	+	5801589	Chr2D	3110817	3113643	-	3112230	1.0	1.0
gene:TraesCS2D03G0020800	Chr2D	5829699	5830322	-	5830010	Chr2D	3083516	3084139	+	3083827	1.0	1.0
gene:TraesCS2D03G0021200	Chr2D	5856192	5856611	-	5856401	Chr2D	3057241	3057660	+	3057450	1.0	1.0
gene:TraesCS2D03G0021400	Chr2D	5882001	5887060	+	5884530	Chr2D	3026585	3031713	-	3029149	1.0	0.997
gene:TraesCS2D03G0021500	Chr2D	5893759	5898807	-	5896283	Chr2D	3014676	3019789	+	3017232	1.0	1.0
gene:TraesCS2D03G0021600	Chr2D	5901903	5903808	+	5902855	Chr2D	3009696	3011580	-	3010638	0.988	0.984
gene:TraesCS2D03G0022000	Chr2D	5940840	5945135	+	5942987	Chr2D	2968705	2973000	-	2970852	1.0	1.0
gene:TraesCS2D03G0022100	Chr2D	5960082	5961948	+	5961015	Chr2D	2951772	2953638	-	2952705	1.0	1.0
