cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr4A	255891836	264172555	Chr4A	297370498	305885064	13	0.9941538461538459
Chr4A	266692038	274110692	Chr4A	287747943	294855863	6	0.9915000000000002
Chr4A	283493914	291423336	Chr4A	244077743	251695280	20	0.9909999999999999
Chr4A	293591696	312125594	Chr4A	253740642	272493622	26	0.9938461538461538
Chr4A	81328	78736365	Chr4A	80021	80092650	730	0.9963246575342466
Chr4A	81244931	130332624	Chr4A	80461410	129304302	282	0.9964113475177303
Chr4A	132517055	192330869	Chr4A	131483811	191167548	260	0.9979961538461538
Chr4A	194997349	219652885	Chr4A	193793543	217760501	41	0.9917560975609756
Chr4A	221731546	222175913	Chr4A	219862763	220295488	3	0.9983333333333334
Chr4A	224910983	226677182	Chr4A	222997406	224940993	4	0.9965
Chr4A	229114346	239587523	Chr4A	227024988	237846244	16	0.9950625
Chr4A	242061522	242431315	Chr4A	240171878	240543645	3	0.9953333333333334
Chr4A	274926979	283056090	Chr4A	279265092	286821170	10	0.9965000000000002
Chr4A	317950774	326248331	Chr4A	315388757	325802393	54	0.9911111111111112
Chr4A	337968373	349413639	Chr4A	333186017	353935187	23	0.9943478260869566
Chr4A	351426691	353020297	Chr4A	342501668	345654456	4	0.99675
Chr4A	355676988	358739297	Chr4A	337627267	355323484	6	0.9954999999999999
Chr4A	361169426	364704441	Chr4A	357729412	361204378	5	0.9958
Chr4A	373809092	386206032	Chr4A	365081513	381928882	14	0.9957142857142857
Chr4A	388345576	389986218	Chr4A	384145291	385759705	3	0.9976666666666668
Chr4A	394095303	397542408	Chr4A	389826260	393058036	6	0.9958333333333332
Chr4A	399782828	400323386	Chr4A	395345121	395874697	3	0.9903333333333334
Chr4A	406605144	419576751	Chr4A	402177848	414845121	17	0.9916470588235294
Chr4A	421807811	507495678	Chr4A	417061393	502170141	418	0.9979186602870813
Chr4A	509609425	641032460	Chr4A	504284374	633774093	1481	0.9979088453747467
Chr4A	659640550	677135749	Chr4A	645009058	662183874	184	0.9983206521739131
Chr4A	688562054	754162718	Chr4A	668338387	722965530	578	0.9898269896193772
Chr4A	656116720	659523672	Chr4A	662300951	665493668	28	0.9981785714285715
Chr4A	677369126	688424293	Chr4A	633793424	644773919	152	0.9981315789473685
