gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	2142012	2143517	-	2142764	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	2219396	2220843	-	2220119	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	2412091	2413569	+	2412830	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	2440886	2444855	-	2442870	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	2451544	2455348	+	2453446	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	2462274	2467071	+	2464672	1.0	0.999	rearrangement:Chr5B_block1
gene:TraesCS5B03G0674700	Chr5B	445370868	445375506	+	445373187	Chr5B	461026323	461030965	-	461028644	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B03G0674800	Chr5B	445377153	445381379	-	445379266	Chr5B	461020450	461024676	+	461022563	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B03G0675300	Chr5B	445411518	445413182	-	445412350	Chr5B	460988637	460990301	+	460989469	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0675400	Chr5B	445773779	445775764	-	445774771	Chr5B	460603719	460605704	+	460604711	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B03G0675500	Chr5B	445817836	445818511	+	445818173	Chr5B	460548781	460549456	-	460549118	1.0	0.997	rearrangement:Chr5B_block3
gene:TraesCS5B03G0675900	Chr5B	445847192	445847491	+	445847341	Chr5B	460519798	460520097	-	460519947	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0676600	Chr5B	446284101	446287430	+	446285765	Chr5B	460085418	460088747	-	460087082	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0677900	Chr5B	448199366	448202936	+	448201151	Chr5B	459135329	459138904	-	459137116	1.0	0.996	rearrangement:Chr5B_block3
gene:TraesCS5B03G0678200	Chr5B	448219083	448219496	+	448219289	Chr5B	459118693	459119106	-	459118899	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0678100	Chr5B	448219011	448221516	-	448220263	Chr5B	459116673	459119178	+	459117925	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B03G0678600	Chr5B	448477766	448483994	-	448480880	Chr5B	458854594	458860821	+	458857707	1.0	0.999	rearrangement:Chr5B_block3
gene:TraesCS5B03G0678900	Chr5B	448618302	448620258	+	448619280	Chr5B	458735125	458737081	-	458736103	1.0	0.997	rearrangement:Chr5B_block3
gene:TraesCS5B03G0679200	Chr5B	448675440	448676592	-	448676016	Chr5B	458679004	458680156	+	458679580	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0679400	Chr5B	448786749	448787625	-	448787187	Chr5B	458567903	458568779	+	458568341	1.0	0.998	rearrangement:Chr5B_block3
gene:TraesCS5B03G0679500	Chr5B	448975765	448992624	+	448984194	Chr5B	458360598	458379858	-	458370228	0.999	0.998	rearrangement:Chr5B_block3
gene:TraesCS5B03G0679600	Chr5B	449031976	449034650	-	449033313	Chr5B	458317354	458320030	+	458318692	1.0	0.997	rearrangement:Chr5B_block3
gene:TraesCS5B03G0680100	Chr5B	449216490	449217038	-	449216764	Chr5B	458126905	458127453	+	458127179	1.0	0.976	rearrangement:Chr5B_block3
gene:TraesCS5B03G0680400	Chr5B	449290854	449291662	-	449291258	Chr5B	458050645	458051451	+	458051048	0.997	0.995	rearrangement:Chr5B_block3
gene:TraesCS5B03G0681000	Chr5B	449434282	449436900	+	449435591	Chr5B	457907046	457909543	-	457908294	0.993	0.993	rearrangement:Chr5B_block3
gene:TraesCS5B03G0681600	Chr5B	449474129	449475459	-	449474794	Chr5B	457854139	457855469	+	457854804	1.0	0.983	rearrangement:Chr5B_block3
gene:TraesCS5B03G0683500	Chr5B	449835947	449837711	-	449836829	Chr5B	457521812	457523576	+	457522694	1.0	0.997	rearrangement:Chr5B_block3
gene:TraesCS5B03G0683600	Chr5B	449846376	449847122	-	449846749	Chr5B	457512339	457513085	+	457512712	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0683800	Chr5B	450015867	450020922	+	450018394	Chr5B	457330415	457335465	-	457332940	1.0	0.994	rearrangement:Chr5B_block3
gene:TraesCS5B03G0684200	Chr5B	450228917	450231877	-	450230397	Chr5B	457111756	457114438	+	457113097	0.999	0.981	rearrangement:Chr5B_block3
gene:TraesCS5B03G0684800	Chr5B	450302588	450303227	+	450302907	Chr5B	457052636	457053275	-	457052955	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0697000	Chr5B	455660738	455663189	+	455661963	Chr5B	451988127	451990578	-	451989352	1.0	0.999	rearrangement:Chr5B_block2
gene:TraesCS5B03G0698400	Chr5B	456692817	456714834	-	456703825	Chr5B	450946416	450968435	+	450957425	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0698500	Chr5B	456716784	456717200	-	456716992	Chr5B	450944050	450944466	+	450944258	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0698700	Chr5B	456747745	456748149	-	456747947	Chr5B	450913141	450913545	+	450913343	1.0	0.997	rearrangement:Chr5B_block2
gene:TraesCS5B03G0698800	Chr5B	456750879	456751175	-	456751027	Chr5B	450910122	450910418	+	450910270	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0699300	Chr5B	456901687	456906748	+	456904217	Chr5B	450653228	450658289	-	450655758	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0699800	Chr5B	457314491	457318159	-	457316325	Chr5B	450242833	450246144	+	450244488	0.995	0.995	rearrangement:Chr5B_block2
gene:TraesCS5B03G0700000	Chr5B	457425640	457432093	-	457428866	Chr5B	450128372	450134845	+	450131608	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0700100	Chr5B	457498948	457500522	+	457499735	Chr5B	450059839	450061413	-	450060626	1.0	1.0	rearrangement:Chr5B_block2
