cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr1B	255631770	270392430	Chr1B	273101892	287903175	34	0.9992352941176472
Chr1B	275750970	286663603	Chr1B	256887331	267757536	33	0.9980000000000001
Chr1B	311490393	311875761	Chr1B	315376381	315766217	5	0.9987999999999999
Chr1B	706647	38402288	Chr1B	1214646	37863411	395	0.9925012658227849
Chr1B	40611674	81974218	Chr1B	39180610	78652413	311	0.9984308681672026
Chr1B	86500196	91210816	Chr1B	83840746	87863787	16	0.9995
Chr1B	93460686	224268457	Chr1B	90160211	219465499	588	0.9987448979591835
Chr1B	226868456	237708948	Chr1B	220598904	232894882	15	0.9995333333333334
Chr1B	240313663	244692138	Chr1B	235488780	238836286	7	0.9987142857142857
Chr1B	246841035	249142619	Chr1B	243450005	245807234	6	1.0
Chr1B	251958660	255519152	Chr1B	253215874	256784267	8	0.9975
Chr1B	270801449	272283175	Chr1B	271209802	272693954	8	0.9995
Chr1B	274419536	275603720	Chr1B	267901354	269079747	13	0.9994615384615385
Chr1B	288577439	296088628	Chr1B	289781365	297229085	33	0.9995757575757577
Chr1B	298738700	298817103	Chr1B	299873620	299951225	5	1.0
Chr1B	301350787	310018863	Chr1B	302414091	311191285	40	0.9933
Chr1B	313326285	324212763	Chr1B	311442144	325390534	45	0.9945333333333333
Chr1B	328393948	697009716	Chr1B	326074863	691430875	2797	0.9964168752234537
