cs_chr	cs_start	cs_end	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	n_anchors	mean_identity
Chr3B	367285459	368667322	Chr3B	379400994	380628742	7	0.9997142857142858
Chr3B	74037	6805777	Chr3B	11682	6325285	110	0.9889636363636363
Chr3B	10012714	35806565	Chr3B	9271972	34571904	355	0.9943661971830986
Chr3B	38137652	97070979	Chr3B	36684172	93729094	555	0.9961747747747747
Chr3B	99457041	161932911	Chr3B	96089363	157860010	343	0.9943148688046646
Chr3B	163978483	184711239	Chr3B	158729089	178899917	134	0.9990149253731343
Chr3B	266387993	271231766	Chr3B	266397074	271226318	29	0.9995517241379311
Chr3B	302886633	307711148	Chr3B	298576887	303571463	7	1.0
Chr3B	310640808	329207761	Chr3B	306533988	324957842	22	0.9994545454545455
Chr3B	333847811	350060262	Chr3B	329581723	345707178	24	0.9962916666666667
Chr3B	352247049	366914954	Chr3B	347890552	369126840	26	0.9996923076923078
Chr3B	371907814	375781155	Chr3B	372234746	376099859	9	0.9997777777777779
Chr3B	379265781	416556469	Chr3B	381391497	418440346	162	0.9985432098765431
Chr3B	418922290	480164325	Chr3B	420805016	481929377	363	0.998404958677686
Chr3B	482733323	529649040	Chr3B	484499987	530999697	269	0.9984981412639405
Chr3B	534144519	847404418	Chr3B	535731274	850600039	2632	0.9971698328267479
Chr3B	841233974	841973972	Chr3B	849322569	849781316	8	0.977625
