cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr6B	168584	103962989	Chr6B	2654716	111595447	969	0.9915954592363261
Chr6B	106468710	109142658	Chr6B	114103235	116763713	7	0.9998571428571429
Chr6B	111691197	240401733	Chr6B	120675903	250791653	749	0.9944966622162884
Chr6B	243269422	252842611	Chr6B	253749538	263294197	27	0.9977777777777777
Chr6B	255004953	262472341	Chr6B	265446539	273119590	31	0.9929999999999999
Chr6B	295767133	302596217	Chr6B	306758748	314785581	24	0.9960833333333334
Chr6B	317213268	321293096	Chr6B	325420175	329486934	11	0.9954545454545456
Chr6B	341712366	343111521	Chr6B	350265026	351632406	5	0.9949999999999999
Chr6B	370130843	376296463	Chr6B	377006581	383282984	8	0.997375
Chr6B	412159717	417348354	Chr6B	419602120	424730534	21	0.9986666666666667
Chr6B	433040290	441049080	Chr6B	437214148	445117232	42	0.9979285714285714
Chr6B	444540716	479000671	Chr6B	448626838	482790574	175	0.9959085714285714
Chr6B	493318567	499022175	Chr6B	499980923	506952403	30	0.9995333333333333
Chr6B	516078619	620708761	Chr6B	521724241	629068275	653	0.9976171516079634
Chr6B	622726250	626889431	Chr6B	631000436	635079262	33	0.9916666666666667
Chr6B	630465748	720953306	Chr6B	637583177	732137127	937	0.9908879402347919
Chr6B	479080248	492494740	Chr6B	507770095	521409236	59	0.9917966101694916
Chr6B	499578091	515582492	Chr6B	483595282	499411667	100	0.9990000000000001
