cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr1B	170911	29492353	Chr1B	180457	32935261	382	0.9899345549738219
Chr1B	31858804	76138867	Chr1B	34370928	83429255	324	0.9952098765432098
Chr1B	80745914	85441230	Chr1B	89295948	94358318	16	0.99
Chr1B	87732453	218433567	Chr1B	96565446	228949764	581	0.9983562822719448
Chr1B	220753045	223795187	Chr1B	231555591	234618125	6	1.0
Chr1B	225799645	231641237	Chr1B	236603580	242479372	9	0.9991111111111112
Chr1B	234252905	240495157	Chr1B	245076894	257476705	10	0.9986
Chr1B	242664448	243089038	Chr1B	255598279	256003421	3	0.999
Chr1B	245942911	259792468	Chr1B	263773859	278326621	24	0.9994583333333334
Chr1B	261843846	289694136	Chr1B	280353053	308496125	104	0.9989807692307693
Chr1B	292342566	292422556	Chr1B	311084530	311162798	5	0.9945999999999999
Chr1B	294946215	309167544	Chr1B	313621985	328919098	48	0.9891666666666667
Chr1B	322108938	495094951	Chr1B	342277796	516446171	1028	0.9959824902723735
Chr1B	499827228	505065663	Chr1B	521235984	527590706	21	0.9939047619047617
Chr1B	509564379	682025360	Chr1B	532233874	708838246	1606	0.993442714819427
