cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr5A	693435	60528080	Chr5A	3114976	65721022	531	0.9946308851224106
Chr5A	63377052	151734470	Chr5A	68570998	156616532	397	0.9966297229219144
Chr5A	155555039	159534199	Chr5A	160466799	164600781	13	0.9996923076923075
Chr5A	161914114	180994113	Chr5A	166951749	186000323	37	0.9997297297297297
Chr5A	183430057	185651119	Chr5A	188415741	190615791	4	1.0
Chr5A	191038029	199222973	Chr5A	195921613	204025604	16	0.998875
Chr5A	203479442	222599127	Chr5A	208284530	227447975	33	0.9999090909090909
Chr5A	224689467	237370335	Chr5A	229522529	242839668	28	0.9998571428571429
Chr5A	245441913	246900816	Chr5A	250462121	251891235	5	1.0
Chr5A	258775970	388640539	Chr5A	260332410	389308880	638	0.9989780564263322
Chr5A	393253490	397757855	Chr5A	394193265	398608641	45	0.9979333333333332
Chr5A	402540994	423746112	Chr5A	403067134	423963936	111	0.9961081081081081
Chr5A	426537435	429513678	Chr5A	425916256	428791755	27	0.9970370370370369
Chr5A	431744154	709675600	Chr5A	429086826	713706109	3233	0.9960665017012065
