cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr3D	868281	21005427	Chr3D	881426	24161846	394	0.991560913705584
Chr3D	299594493	309084975	Chr3D	334712581	344150858	78	0.9997435897435896
Chr3D	317202090	324312558	Chr3D	319581771	326649501	29	0.9997586206896552
Chr3D	328640	854248	Chr3D	5124660	5595285	6	0.9291666666666667
Chr3D	21204309	116408326	Chr3D	28251769	135136037	967	0.9994963805584282
Chr3D	118542402	193596645	Chr3D	137241157	212978457	421	0.9993277909738717
Chr3D	196947044	200390459	Chr3D	216334629	219754887	5	0.999
Chr3D	202614073	202651143	Chr3D	222272847	222308896	4	0.99975
Chr3D	206979095	213997235	Chr3D	226606374	233587258	11	0.9990000000000001
Chr3D	216425033	219568689	Chr3D	235998469	239110480	6	1.0
Chr3D	225525420	232470513	Chr3D	245244806	252147137	13	0.9995384615384615
Chr3D	234603090	244292283	Chr3D	254261268	264942390	13	0.9993076923076925
Chr3D	246327705	257173258	Chr3D	265777574	277782048	29	0.9998965517241379
Chr3D	259434941	298593191	Chr3D	280025862	318991384	140	0.9988785714285714
Chr3D	309654306	316816331	Chr3D	327031480	334145352	40	0.999875
Chr3D	324387385	492131921	Chr3D	344834021	511380226	1381	0.9992013034033309
Chr3D	494653889	615474754	Chr3D	514352491	636956291	1608	0.9982518656716418
