gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS5B02G000100	Chr5B	16235	21357	+	18796	Chr5B	10246620	10251744	-	10249182	1.0	1.0	collinear
gene:TraesCS5B02G000300	Chr5B	86983	88497	-	87740	Chr5B	10163779	10165293	+	10164536	1.0	0.998	collinear
gene:TraesCS5B02G000400	Chr5B	210112	215729	+	212920	Chr5B	10036969	10042586	-	10039777	1.0	1.0	collinear
gene:TraesCS5B02G000500	Chr5B	216278	219412	-	217845	Chr5B	10033283	10036420	+	10034851	1.0	0.999	collinear
gene:TraesCS5B02G000600	Chr5B	229215	233600	+	231407	Chr5B	10019347	10023480	-	10021413	1.0	1.0	collinear
gene:TraesCS5B02G000700	Chr5B	461918	462852	-	462385	Chr5B	10276245	10277179	-	10276712	1.0	1.0	collinear
gene:TraesCS5B02G000800	Chr5B	655778	658708	-	657243	Chr5B	10498514	10501444	-	10499979	1.0	1.0	collinear
gene:TraesCS5B02G000900	Chr5B	756821	758672	+	757746	Chr5B	10598598	10600449	+	10599523	1.0	1.0	collinear
gene:TraesCS5B02G001000	Chr5B	762630	764982	-	763806	Chr5B	10604407	10606759	-	10605583	1.0	1.0	collinear
gene:TraesCS5B02G001100	Chr5B	860861	865647	-	863254	Chr5B	10701241	10705764	-	10703502	1.0	1.0	collinear
gene:TraesCS5B02G001300	Chr5B	1579405	1579728	+	1579566	Chr5B	9557999	9558322	+	9558160	1.0	1.0	collinear
gene:TraesCS5B02G004200	Chr5B	6217631	6220820	-	6219225	Chr5B	12037456	12040645	-	12039050	1.0	1.0	collinear
gene:TraesCS5B02G004300	Chr5B	6364821	6368699	-	6366760	Chr5B	12183365	12187243	-	12185304	1.0	1.0	collinear
gene:TraesCS5B02G004400	Chr5B	6393220	6407926	+	6400573	Chr5B	12211804	12226510	+	12219157	1.0	1.0	collinear
gene:TraesCS5B02G004500	Chr5B	6418315	6422013	-	6420164	Chr5B	12236702	12240400	-	12238551	1.0	1.0	collinear
gene:TraesCS5B02G004600	Chr5B	6467080	6476016	+	6471548	Chr5B	12285195	12293507	+	12289351	1.0	1.0	collinear
gene:TraesCS5B02G004700	Chr5B	6501236	6502261	+	6501748	Chr5B	12319007	12320032	+	12319519	1.0	1.0	collinear
gene:TraesCS5B02G004900	Chr5B	6622837	6626116	+	6624476	Chr5B	12399538	12402817	+	12401177	1.0	1.0	collinear
gene:TraesCS5B02G005000	Chr5B	6645267	6648830	+	6647048	Chr5B	12421821	12425384	+	12423602	1.0	0.999	collinear
gene:TraesCS5B02G005100	Chr5B	6650056	6654556	+	6652306	Chr5B	12426310	12430810	+	12428560	1.0	1.0	collinear
gene:TraesCS5B02G005200	Chr5B	6659370	6677496	+	6668433	Chr5B	12435624	12453750	+	12444687	1.0	1.0	collinear
gene:TraesCS5B02G005300	Chr5B	6834483	6837707	-	6836095	Chr5B	12622422	12625646	-	12624034	1.0	1.0	collinear
gene:TraesCS5B02G005400	Chr5B	6918180	6927740	-	6922960	Chr5B	12705395	12714956	-	12710175	1.0	1.0	collinear
gene:TraesCS5B02G005500	Chr5B	6968208	6970169	+	6969188	Chr5B	12754861	12756822	+	12755841	1.0	0.999	collinear
gene:TraesCS5B02G005600	Chr5B	6965525	6975517	+	6970521	Chr5B	13356100	13365157	+	13360628	1.0	0.997	collinear
gene:TraesCS5B02G005700	Chr5B	7021141	7026614	-	7023877	Chr5B	13418094	13423567	-	13420830	1.0	1.0	collinear
gene:TraesCS5B02G005755	Chr5B	7068359	7071536	-	7069947	Chr5B	13730561	13732905	-	13731733	0.983	0.976	collinear
gene:TraesCS5B02G005800	Chr5B	7119761	7120042	-	7119901	Chr5B	13782874	13783155	-	13783014	1.0	1.0	collinear
gene:TraesCS5B02G005900	Chr5B	7148738	7149225	-	7148981	Chr5B	13811877	13812364	-	13812120	1.0	1.0	collinear
gene:TraesCS5B02G006000	Chr5B	7184206	7184957	-	7184581	Chr5B	13847348	13848099	-	13847723	1.0	1.0	collinear
gene:TraesCS5B02G006100	Chr5B	7304012	7304699	-	7304355	Chr5B	13966542	13967229	-	13966885	1.0	1.0	collinear
gene:TraesCS5B02G006200	Chr5B	7354948	7355435	-	7355191	Chr5B	14016950	14017437	-	14017193	1.0	1.0	collinear
gene:TraesCS5B02G006300	Chr5B	7382778	7383265	-	7383021	Chr5B	14044107	14044594	-	14044350	1.0	1.0	collinear
gene:TraesCS5B02G006400	Chr5B	7541069	7545930	-	7543499	Chr5B	14199663	14204162	-	14201912	0.97	0.97	collinear
gene:TraesCS5B02G006500	Chr5B	7706077	7709832	-	7707954	Chr5B	14362542	14366297	-	14364419	1.0	1.0	collinear
gene:TraesCS5B02G006600	Chr5B	7936224	7944965	-	7940594	Chr5B	14592296	14601039	-	14596667	1.0	1.0	collinear
gene:TraesCS5B02G006700	Chr5B	7995392	8007460	-	8001426	Chr5B	14651112	14663180	-	14657146	1.0	1.0	collinear
gene:TraesCS5B02G006800	Chr5B	8086615	8096868	+	8091741	Chr5B	14741487	14751741	+	14746614	1.0	1.0	collinear
gene:TraesCS5B02G006900	Chr5B	8171350	8176122	+	8173736	Chr5B	14839705	14844477	+	14842091	1.0	1.0	collinear
gene:TraesCS5B02G007000	Chr5B	8185879	8188188	-	8187033	Chr5B	14853791	14856100	-	14854945	1.0	1.0	collinear
gene:TraesCS5B02G007100	Chr5B	8342582	8344606	+	8343594	Chr5B	15008533	15010557	+	15009545	1.0	1.0	collinear
gene:TraesCS5B02G007200	Chr5B	8351751	8353860	+	8352805	Chr5B	15017702	15019811	+	15018756	1.0	0.999	collinear
