cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr3A	16208	128718501	Chr3A	327180	138010061	1310	0.995057251908397
Chr3A	130835529	181088605	Chr3A	140108959	189992951	216	0.9985509259259259
Chr3A	184214632	251342423	Chr3A	193096552	260796716	205	0.9995365853658538
Chr3A	259064196	267056348	Chr3A	268384436	276378062	12	0.9976666666666668
Chr3A	269215500	273159995	Chr3A	278545708	282453206	6	0.9998333333333335
Chr3A	275284207	283103162	Chr3A	284578007	292326925	7	0.9998571428571428
Chr3A	288539387	293589663	Chr3A	298407521	303426611	6	0.9991666666666666
Chr3A	295949198	314620161	Chr3A	305766020	324230573	24	0.9997083333333334
Chr3A	321109384	337881732	Chr3A	333439862	350636040	30	0.9995999999999999
Chr3A	340259729	343231466	Chr3A	353035040	355968935	8	0.99625
Chr3A	345871376	349014829	Chr3A	358602578	361725132	6	0.9998333333333335
Chr3A	351126951	528599904	Chr3A	363830064	541020218	868	0.9984562211981568
Chr3A	533994753	545153837	Chr3A	541111395	552335859	73	0.9911643835616439
Chr3A	556260652	750618114	Chr3A	558547899	758405888	2106	0.9964871794871795
