gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS3D02G000200	Chr3D	328329	328952	+	328640	Chr3D	5594977	5595594	-	5595285	0.99	0.948	collinear
gene:TraesCS3D02G000500	Chr3D	390450	391973	-	391211	Chr3D	5555145	5556633	+	5555889	0.96	0.902	collinear
gene:TraesCS3D02G000800	Chr3D	494126	496511	+	495318	Chr3D	5466786	5469033	-	5467909	0.993	0.927	collinear
gene:TraesCS3D02G001400	Chr3D	707880	709355	+	708617	Chr3D	5247909	5249378	-	5248643	0.991	0.933	collinear
gene:TraesCS3D02G001600	Chr3D	774041	778387	-	776214	Chr3D	5229776	5234129	+	5231952	0.966	0.912	collinear
gene:TraesCS3D02G001800	Chr3D	853402	855095	+	854248	Chr3D	5123818	5125502	-	5124660	0.994	0.953	collinear
gene:TraesCS3D02G051900	Chr3D	21204149	21204469	-	21204309	Chr3D	28251609	28251929	-	28251769	1.0	1.0	collinear
gene:TraesCS3D02G052000	Chr3D	21251368	21251900	-	21251634	Chr3D	28298176	28298708	-	28298442	1.0	1.0	collinear
gene:TraesCS3D02G052100	Chr3D	21328325	21329076	-	21328700	Chr3D	28374089	28374836	-	28374462	1.0	1.0	collinear
gene:TraesCS3D02G052200	Chr3D	21768581	21769838	-	21769209	Chr3D	29330607	29331865	-	29331236	1.0	1.0	collinear
gene:TraesCS3D02G052300	Chr3D	21792841	21795028	+	21793934	Chr3D	29354865	29357052	+	29355958	1.0	1.0	collinear
gene:TraesCS3D02G052400	Chr3D	21888438	21889499	+	21888968	Chr3D	29448451	29449512	+	29448981	1.0	1.0	collinear
gene:TraesCS3D02G052500	Chr3D	21894306	21895255	+	21894780	Chr3D	29454319	29455020	+	29454669	1.0	0.998	collinear
gene:TraesCS3D02G052600	Chr3D	21896070	21896213	-	21896141	Chr3D	29455835	29455978	-	29455906	1.0	1.0	collinear
gene:TraesCS3D02G052700	Chr3D	21896318	21896434	-	21896376	Chr3D	29456083	29456199	-	29456141	1.0	1.0	collinear
gene:TraesCS3D02G052800	Chr3D	21896587	21896838	-	21896712	Chr3D	29456352	29456603	-	29456477	1.0	1.0	collinear
gene:TraesCS3D02G052900	Chr3D	21897990	21898085	+	21898037	Chr3D	29457755	29457850	+	29457802	1.0	1.0	collinear
gene:TraesCS3D02G053000	Chr3D	21899696	21899896	+	21899796	Chr3D	29459461	29459661	+	29459561	1.0	1.0	collinear
gene:TraesCS3D02G053100	Chr3D	21900166	21900678	+	21900422	Chr3D	29459931	29460443	+	29460187	1.0	1.0	collinear
gene:TraesCS3D02G053200	Chr3D	21900841	21901200	-	21901020	Chr3D	29460606	29460965	-	29460785	1.0	1.0	collinear
gene:TraesCS3D02G053300	Chr3D	21902685	21903335	-	21903010	Chr3D	29461913	29462563	-	29462238	1.0	1.0	collinear
gene:TraesCS3D02G053400	Chr3D	21903938	21905358	+	21904648	Chr3D	29463166	29464587	+	29463876	1.0	0.999	collinear
gene:TraesCS3D02G053500	Chr3D	21905522	21905638	+	21905580	Chr3D	29464751	29464867	+	29464809	1.0	1.0	collinear
gene:TraesCS3D02G053600	Chr3D	22047120	22052398	-	22049759	Chr3D	29607550	29612828	-	29610189	1.0	1.0	collinear
