cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr2B	7436144	8387855	Chr2B	7877618	8819986	27	0.9997407407407408
Chr2B	10668432	11086037	Chr2B	563086	1414153	14	0.9720714285714287
Chr2B	361424474	367683323	Chr2B	380894274	387103361	16	0.9995625
Chr2B	375133991	379787029	Chr2B	260295029	264925230	15	0.9998666666666668
Chr2B	10698	7161153	Chr2B	3285807	16544063	147	0.9971292517006803
Chr2B	11180525	123101136	Chr2B	16593275	136233389	1108	0.9930108303249097
Chr2B	129392470	202920401	Chr2B	137391795	209355981	555	0.9941981981981981
Chr2B	205644786	240314058	Chr2B	209455048	244181471	201	0.9973980099502486
Chr2B	242536523	270216010	Chr2B	246638001	279454960	128	0.9992578125000001
Chr2B	272550652	303097333	Chr2B	281790040	312316058	46	0.9995217391304346
Chr2B	305321036	318205778	Chr2B	314758706	327951194	16	0.9998125
Chr2B	320343927	333044217	Chr2B	330250410	344598255	21	0.9997142857142857
Chr2B	335510269	342279112	Chr2B	347040401	353719991	9	1.0
Chr2B	346670378	361286666	Chr2B	357451328	373670823	54	0.999462962962963
Chr2B	367851602	374802272	Chr2B	373843249	380728985	37	0.9988648648648648
Chr2B	379832912	683750590	Chr2B	387296123	690108555	1989	0.9969738562091504
Chr2B	686041245	793530997	Chr2B	690519255	796570663	1004	0.9840308764940239
Chr2B	795985436	801254636	Chr2B	796961195	804376085	32	0.9535625
