cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr7D	210218	13887459	Chr7D	417267	13918047	242	0.9962231404958678
Chr7D	14421585	277735513	Chr7D	15588939	287952922	2434	0.9990414954806902
Chr7D	282874482	285683864	Chr7D	293114209	295935597	5	0.9865999999999999
Chr7D	287902401	307163278	Chr7D	298128656	320185123	41	0.9991463414634147
Chr7D	309504249	313709460	Chr7D	322516752	326696224	11	1.0
Chr7D	318812712	321972400	Chr7D	328860877	332000415	6	1.0
Chr7D	324339077	340299388	Chr7D	334372348	350280033	19	0.9996842105263157
Chr7D	342405820	631639611	Chr7D	352337155	651573041	2418	0.9991761786600496
Chr7D	634576038	638667898	Chr7D	651626596	655846345	53	0.999245283018868
Chr7D	631685822	634455258	Chr7D	655962205	658707228	73	0.9984246575342467
