cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr2A	12047886	240818173	Chr2A	15168603	250395204	1878	0.9955447284345047
Chr2A	249151448	252091236	Chr2A	258684954	261577593	6	0.9996666666666667
Chr2A	255910505	258353437	Chr2A	265364122	267809113	8	0.9998750000000001
Chr2A	260548731	262579565	Chr2A	269986113	271999698	7	0.9997142857142858
Chr2A	265274570	273294992	Chr2A	274649739	283085481	16	0.9991875
Chr2A	275352399	281746218	Chr2A	285113469	291468311	23	0.9998260869565219
Chr2A	283944564	286439768	Chr2A	293636161	296120436	5	0.999
Chr2A	331195967	335394528	Chr2A	340770482	344924552	9	0.9996666666666667
Chr2A	340608829	341927845	Chr2A	352810523	354783884	3	1.0
Chr2A	349721260	354530162	Chr2A	359700650	364500699	10	0.9996
Chr2A	364470917	366720526	Chr2A	372982486	375211374	6	1.0
Chr2A	369202998	395710262	Chr2A	381617549	407677418	92	0.9975108695652174
Chr2A	398464297	398971793	Chr2A	412170638	412649139	4	0.99525
Chr2A	405468040	486499474	Chr2A	417391573	498387138	269	0.9967695167286245
Chr2A	488847564	547776466	Chr2A	500695142	559280151	315	0.9967619047619048
Chr2A	563768705	568484007	Chr2A	575018236	579713367	40	0.9985250000000001
Chr2A	582840575	760762714	Chr2A	594275442	774751300	1972	0.9967195740365111
Chr2A	770010489	774907561	Chr2A	782674864	787459160	60	0.9895999999999999
