cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr6D	43783	26255608	Chr6D	130692	29379731	537	0.9992849162011173
Chr6D	46902857	49450861	Chr6D	82633698	85159966	31	0.9973870967741936
Chr6D	26351226	46873994	Chr6D	34433327	77224426	251	0.9994741035856574
Chr6D	50179900	164765103	Chr6D	77885441	195169616	877	0.999163055872292
Chr6D	166779487	214550301	Chr6D	197149609	243726803	75	0.9988933333333333
Chr6D	216846232	227401287	Chr6D	246199653	256701352	15	0.9988666666666667
Chr6D	232122220	239805311	Chr6D	261403858	269030568	12	0.9938333333333333
Chr6D	242219199	280904417	Chr6D	271424991	312261715	144	0.9985416666666668
Chr6D	283156017	415028218	Chr6D	314489446	445962063	1032	0.9995784883720931
Chr6D	417690848	473516145	Chr6D	448620816	506660885	900	0.9952622222222222
